"Scenario","Train_Obs","Test_Obs","Tree1_Nodes","Tree2_Nodes","Tree3_Nodes","Tree1_Sharpe","Tree2_Sharpe","Tree3_Sharpe"
"A: Full",48219,0,5,5,5,1.12988920286741,0.790226809290933,0.579550063373287
"B: Split",19787,28432,19,19,19,2.3829630694219,1.73662075773152,0.717696467227932
"C: Reverse",28432,19787,5,5,5,1.03359629780986,1.17167248322402,0.650989102055573
