date,rm,rf,rm_rf,smb_ew,hml_ew,mom_ew,smb_vw,hml_vw,mom_vw,rolling_vol_daily,rolling_vol_annualized,rolling_vol_annualized_pct,month,value,inflation_yoy
1998-10-01,0.0442110847339132,0.0036511111111111,0.0405599736228021,-0.0657360445638126,-0.0340015105234481,0.0377873763236448,-0.0678381301239474,0.0005262618105587,0.0070334084902166,0.06682023793026132,0.23147209413810726,23.15,1998M10,158.49,0.13267626990145498
1998-11-01,0.123017840366418,0.0032916666666666,0.119726173699752,0.0584545381247963,-0.0652921252020564,0.0044591791199769,0.0121058267204641,-0.104498017056485,0.101506102349488,0.07407843646348292,0.2566152314000307,25.66,1998M11,158.25,0.05690440060697188
1998-12-01,-0.0139412416802232,0.0031344444444444,-0.0170756861246677,0.0025786441590013,-0.0263917300664338,0.027754665323231,0.0149370497619774,-0.0167632445112309,0.0688781569627309,0.07423100947547798,0.2571437598173092,25.71,1998M12,158.19,0.03161755406602129
1999-01-01,0.0239834331749279,0.0029794444444444,0.0210039887304834,-0.0152583821412856,0.0136312975760953,-0.0105004517928165,-0.0486172027811358,0.0373820493084429,-0.0081261517067861,0.0740210227666175,0.2564163445199882,25.64,1999M01,158.39,0.7057477110884891
1999-02-01,0.0147036651162285,0.0024422222222222,0.0122614428940063,-0.0082960211142856,0.0743784636311705,-0.120741256319832,0.0097727765144906,0.0660038815607339,-0.0336382926283854,0.07127827973920137,0.24691520396880812,24.69,1999M02,158.47,0.8143011641962072
1999-03-01,0.0263827642369599,0.0027727777777777,0.0236099864591821,-0.0412010800835786,0.0803079329863395,-0.126274121242865,-0.0526396362932567,0.102890109876938,-0.177685183761534,0.06916906119518029,0.23960865660378622,23.96,1999M03,159.23,1.066328149793705
1999-04-01,0.0618784669103015,0.0024,0.0594784669103015,-0.0265548312529388,0.0590877268391298,-0.0730657855353753,-0.0310412332163827,0.0523290143131973,-0.0390948975608586,0.0710334471919679,0.2460670791464984,24.61,1999M04,159.78,1.0626185958254375
1999-05-01,-0.0002773870805385,0.0024584722222222,-0.0027358593027608,0.0443650857081668,-0.0087305424782542,-0.0337016881386667,0.0465254771941813,-0.0238858351449399,-0.0457802959263039,0.07026818488331402,0.24341613274708643,24.34,1999M05,160.22,1.0915515174458879
1999-06-01,0.0552322623792764,0.0024666666666666,0.0527655957126098,-0.0423468214125837,-0.0193390743548448,0.0970660362658638,-0.0723271079215342,-0.018586128921761,0.111294376126541,0.0719105128387968,0.24910532367026023,24.91,1999M06,160.51,1.402489102280624
1999-07-01,-0.0061652872983701,0.0025144444444444,-0.0086797317428145,-0.0094950060399543,-0.0069349181945783,0.0686723987857597,-0.0311265794309741,-0.0025979706232498,0.102519913856716,0.07192001298469815,0.24913823314102113,24.91,1999M07,159.88,1.1514614703277193
