"month","factor"
1997-02-28,0.0352709611605622
1997-03-27,0.00283007102998361
1997-04-30,-0.0311344004638319
1997-05-30,0.0445332507763095
1997-06-30,0.0754642527962056
1997-07-31,0.039931545763015
1997-08-29,0.0331739740605957
1997-09-30,0.0806771683926533
1997-10-31,-0.0718597038359025
1997-11-28,0.0296930013134304
1997-12-30,0.0365499592735339
1998-01-30,-0.00196165361529326
1998-02-27,0.0604209134320264
1998-03-31,0.0659952282316294
1998-04-30,0.00247809082061927
1998-05-29,0.202277592267277
1998-06-30,-0.00368866011708794
1998-07-31,0.0029319720704531
1998-08-31,-0.162252867227462
1998-09-30,-0.0990113543942517
1998-10-30,-0.0382641988251013
1998-11-30,0.106555430768052
1998-12-30,-0.0305901689639659
1999-01-29,-0.0110698331927255
1999-02-26,0.00181488638323647
1999-03-31,0.00114460445342234
1999-04-30,0.0572696011129571
1999-05-31,0.00952233004765433
1999-06-30,-0.00454845667296793
1999-07-30,-0.0153660262358447
1999-08-31,0.0433664706113286
1999-09-30,0.0102593859341651
1999-10-29,0.022533195753365
1999-11-30,0.756858828976574
1999-12-30,0.171217298158258
2000-01-31,0.0625027026130454
2000-02-29,0.145821900925069
2000-03-31,0.00130902444645311
2000-04-28,-0.0676497711666292
2000-05-31,0.0172313471619384
2000-06-30,-0.0479092978913459
2000-07-31,0.00114148481388024
2000-08-31,0.0618943836574213
2000-09-29,-0.00281985963951903
2000-10-31,-0.0882202495668324
2000-11-30,-0.0155103753225278
2000-12-29,-0.0502865751470643
2001-01-31,0.106239109765049
2001-02-28,-0.0656186465006972
2001-03-30,-0.064945674275793
2001-04-30,0.0688870110622264
2001-05-31,0.0399519498812092
2001-06-29,-0.114150987890641
2001-07-31,-0.071481934686326
2001-08-31,-0.106553357924192
2001-09-28,-0.139761943911352
2001-10-31,0.0938803737904573
2001-11-30,0.190015294601195
2001-12-28,0.0166488167374546
2002-01-31,-0.0197446931415574
2002-02-28,-0.00476956148039647
2002-03-28,0.0559613853041546
2002-04-30,-0.0761858797695673
2002-05-31,-0.035234140047191
2002-06-28,-0.0813264735673055
2002-07-31,-0.0756608209639864
2002-08-30,-0.0692423878929131
2002-09-30,-0.213153839029658
2002-10-31,0.149785604680644
2002-11-29,0.1636539644788
2002-12-30,-0.129328720400682
2003-01-31,-0.00319543014387394
2003-02-28,-0.0280876142636047
2003-03-31,-0.0601329642124513
2003-04-30,0.0721511634746496
2003-05-30,0.0767446666619055
2003-06-30,0.0741806084444819
2003-07-31,0.0840516424046255
2003-08-29,0.0773222870340561
2003-09-30,0.0423126637136622
2003-10-31,0.0883383416803807
2003-11-28,0.0364000734690939
2003-12-30,0.0188746226336247
2004-01-30,0.1469079899712
2004-02-27,0.0482328743688465
2004-03-31,0.00636704125176588
2004-04-30,0.066331680375578
2004-05-28,-0.0207509343833879
2004-06-30,0.0346840260305736
2004-07-30,-0.0200877530001323
2004-08-31,-0.018065837672327
2004-09-30,0.0822938764726174
2004-10-29,0.0212684050343513
2004-11-30,0.0620064626687453
2004-12-30,0.0488017457761609
2005-01-31,0.0440483757160944
2005-02-28,0.0857891187573477
2005-03-31,0.0276613138001065
2005-04-29,-0.0186597543402874
2005-05-31,0.0323316486423482
2005-06-30,0.0411066084022502
2005-07-29,0.0460206462810702
2005-08-31,0.0245138474047066
2005-09-30,0.0679595897519567
2005-10-31,-0.0234883273024107
2005-11-30,0.0516816461658398
2005-12-30,0.0938081153669841
2006-01-31,0.0119887599218402
2006-02-28,0.0308966374131392
2006-03-31,0.0565793631396566
2006-04-28,0.00430895058159014
2006-05-31,-0.087116432826539
2006-06-30,-0.0101590203721701
2006-07-31,-0.0236725904038181
2006-08-31,0.0335295615373056
2006-09-29,0.040831199609325
2006-10-31,0.0113168550689097
2006-11-30,0.00902320734816207
2006-12-29,0.091430898911943
2007-01-31,0.0405231261485087
2007-02-28,-0.0402823405873845
2007-03-30,0.0432238532829673
2007-04-30,0.0548086229506658
2007-05-31,0.0141765164947355
2007-06-29,-0.0379892560280607
2007-07-31,-0.0305029968158126
2007-08-31,-0.044638818415709
2007-09-28,-0.00767680785083289
2007-10-31,-0.0172507304379374
2007-11-30,-0.080867867027305
2007-12-28,-0.0396605577278867
2008-01-31,-0.072029072475612
2008-02-29,0.0501555742430889
2008-03-31,-0.0203545367897909
2008-04-30,0.023082806274659
2008-05-30,0.0205737763522705
2008-06-30,-0.124649902421061
2008-07-31,-0.0041800054717202
2008-08-29,0.00601472412150223
2008-09-30,-0.141295086667624
2008-10-31,-0.192470430113914
2008-11-28,-0.0843361691379281
2008-12-30,-0.075972229923151
2009-01-30,0.0406400077912491
2009-02-27,0.00832746524369956
2009-03-31,0.0236239140928715
2009-04-30,0.211948404962586
2009-05-29,0.0668128858768775
2009-06-30,-0.0163087251063966
2009-07-31,0.0312712662073142
2009-08-31,0.076494217336693
2009-09-30,0.058963351513149
2009-10-30,0.00960417054596427
2009-11-30,0.00711679766315421
2009-12-30,0.0108984335713569
