"month","factor"
2010-01-29,0.0494228813725389
2010-02-26,-0.00390467860293755
2010-03-31,0.100031292537001
2010-04-30,-0.00254478086742861
2010-05-31,-0.0555316775807354
2010-06-30,-0.0147258747178111
2010-07-30,0.0260846714317572
2010-08-31,-0.0333842375990722
2010-09-30,0.0821419921236871
2010-10-29,9.15623889570143e-05
2010-11-30,-0.00595853578829719
2010-12-30,0.0602798716622574
2011-01-31,0.0406234098774637
2011-02-28,-0.0153070504816743
2011-03-31,0.0386608014279718
2011-04-29,0.0228731373593184
2011-05-31,-0.0173003127016914
2011-06-30,-0.0470089002117792
2011-07-29,-0.0459615179399486
2011-08-31,-0.0962163478801082
2011-09-30,-0.0853820810328563
2011-10-31,0.0606530166533742
2011-11-30,-0.0337274973593555
2011-12-30,0.00739901427125161
2012-01-31,0.0973478694144238
2012-02-29,0.0563030556266007
2012-03-30,0.00346139042590897
2012-04-30,-0.00622749535904278
2012-05-31,-0.0566689785486392
2012-06-29,-0.0126888926234771
2012-07-31,0.0115755783695708
2012-08-31,-0.0104349950985538
2012-09-28,0.0108694063775844
2012-10-31,-0.0452022706842865
2012-11-30,-0.0135950120648603
2012-12-28,0.0497251113905372
2013-01-31,0.0779347426558909
2013-02-28,0.0569336468058139
2013-03-28,0.00782472223632429
2013-04-30,0.142732832221294
2013-05-31,0.0258991403390519
2013-06-28,-0.0261386820109704
2013-07-31,0.0431398846772322
2013-08-30,0.0201517808709209
2013-09-30,0.0328738719145883
2013-10-31,0.0258881536716231
2013-11-29,0.0213508670736404
2013-12-30,0.00655476813765146
2014-01-31,0.0209733771019052
2014-02-28,0.0555722737954341
2014-03-31,-0.0100714744898416
2014-04-30,0.0318869965876947
2014-05-30,0.031934928401899
2014-06-30,-0.00739372072751426
2014-07-31,-0.0115956340948001
2014-08-29,-0.0158591866714284
2014-09-30,-0.0183898676791701
2014-10-31,-0.0112925557585263
2014-11-28,0.0325858507255245
2014-12-30,0.0199005105985349
2015-01-30,0.0481872527152574
2015-02-27,0.119171926033818
2015-03-31,0.0142480667116477
2015-04-30,0.0249280801119998
2015-05-29,0.0158482899088648
2015-06-30,-0.0641768045653478
2015-07-31,0.0840662655126228
2015-08-31,-0.0501134253856134
2015-09-30,-0.0277631289559766
2015-10-30,0.0770839442956659
2015-11-30,0.0719569153190855
2015-12-30,-0.00997202402596087
2016-01-29,-0.0741932317522573
2016-02-29,0.00447129372464408
2016-03-31,0.0387400622848259
2016-04-29,0.0194188339806987
2016-05-31,0.0299970919784151
2016-06-30,-0.0337462152891046
2016-07-29,0.0834580370569907
2016-08-31,0.0449754222166485
2016-09-30,0.0231057053093505
2016-10-31,-0.0126250767183788
2016-11-30,0.0140003904009602
2016-12-30,0.0295048757581986
2017-01-31,0.0306802967886569
2017-02-28,0.0459798017348421
2017-03-31,0.00460432311728296
2017-04-28,0.0451043868617919
2017-05-31,0.0133133806431706
2017-06-30,0.00340941023964524
2017-07-31,-0.000909506655775395
2017-08-31,0.00253471361269036
2017-09-29,0.0448412173618482
2017-10-31,-0.00116292005031887
2017-11-30,-0.0398638878055276
2017-12-29,0.047499213184333
2018-01-31,0.0255010235014293
2018-02-28,-0.0154066436247908
2018-03-29,-0.0251620248724424
2018-04-30,0.0538867694123377
2018-05-31,0.0106128857169478
2018-06-29,-0.0185641995211116
2018-07-31,0.0688784039562144
2018-08-31,0.0327862956852823
2018-09-28,0.000565787832341568
2018-10-31,-0.0675878545697241
2018-11-30,-0.0252591197932199
2018-12-28,-0.0574616661341669
2019-01-31,0.0573263277988063
2019-02-28,0.0402420635120574
2019-03-29,0.0142408715972899
2019-04-30,0.0571099705257754
2019-05-31,-0.0132061286093769
2019-06-28,0.0571235469792654
2019-07-31,-0.00258949339655994
2019-08-30,-0.0333989918251395
2019-09-30,0.0241414374401877
2019-10-31,0.03276734844943
2019-11-29,0.0438244971881585
2019-12-30,0.0458609907933963
2020-01-31,0.0164714405415094
2020-02-28,-0.0675583443767745
2020-03-31,-0.145530682552443
2020-04-30,0.126922855854643
2020-05-29,0.052817835786439
2020-06-30,0.0785350675415277
2020-07-31,0.0523569430865742
2020-08-31,0.0637255464369083
2020-09-30,0.0506215227983111
2020-10-30,-0.0632489537392333
2020-11-30,0.0967664142159709
2020-12-30,0.0759370096037765
2021-01-29,0.0684365178999173
2021-02-26,0.0485574816139541
2021-03-31,0.0640862744855303
2021-04-30,0.0713850562412263
2021-05-31,0.0514542831418649
2021-06-30,0.0162174961747191
2021-07-30,0.0956600473334585
2021-08-31,0.0314913032447572
2021-09-30,-0.0658047259432162
2021-10-29,0.0410509643007192
2021-11-30,0.0925414328024927
2021-12-30,0.0681715790078425
2022-01-31,-0.0414578142548894
2022-02-28,-0.0769419203102941
2022-03-31,0.0302863009582678
2022-04-29,-0.0258221418574178
2022-05-31,-0.0114378921217364
2022-06-30,-0.131197429291492
2022-07-29,0.120008818614673
2022-08-31,-0.0497587046008969
2022-09-30,-0.116262295723685
2022-10-31,0.0624405187454535
2022-11-30,0.029592911463938
2022-12-30,-0.0906467642930137
