"month","factor1","factor2","factor3"
1997-03-27,0.014612287573735,0.018101490763599,0.00475353024766366
1997-04-30,0.00774696652661792,0.00165148668271426,0.00542843891261642
1997-05-30,0.00156736161002707,0.0088782716822882,0.000712696967696436
1997-06-30,-0.00217485136129684,0.0170462394787677,3.21801331426502e-05
1997-07-31,0.0179356021292442,0.0132831493070521,0.0156998491778309
1997-08-29,0.00161552277798138,-0.00602632567585498,0.000383811694703472
1997-09-30,0.0104327432638417,0.00568297942444635,-0.00387461685001124
1997-10-31,0.0165555964709493,-0.0119006820400741,-0.0117943044520317
1997-11-28,0.00993557325067073,0.0115946591166157,-0.0134558476637042
1997-12-30,0.0166130950414864,-0.00157374649339684,-0.0103846264556481
1998-01-30,0.00296194661114028,-0.0074895762929709,0.00237155243244394
1998-02-27,0.00585103028967547,-0.00426671272277697,-0.00666128642219529
1998-03-31,0.0247277313657354,0.00618941768104322,0.00257792264642305
1998-04-30,0.0311602375104218,0.0129310633589307,0.00241281150534761
1998-05-29,0.0250324606536066,0.00290524261410352,0.00176711091863245
1998-06-30,-0.00102248251450587,0.00976968139773725,-0.000760109446802109
1998-07-31,0.012829441911733,0.0131253366235033,-0.00262282415689148
1998-08-31,-0.000549922891058603,0.00516902635200624,-0.00938777500008827
1998-09-30,0.00897396874806869,0.00719701815199858,-0.00738339910943156
1998-10-30,0.00363236757672064,0.0229312367287955,-0.00381225778458242
1998-11-30,0.0112809572324251,0.00732087869347308,0.00768025316679975
1998-12-30,0.0043931487760896,-0.00496897496605098,0.00539744046652383
1999-01-29,0.0338680206686735,-0.000668018633150549,-2.8353036110376e-05
1999-02-26,0.0205620080667473,0.0221754266711473,0.0154584933570459
1999-03-31,0.00869285891412288,0.00765323232908481,0.0219418408453942
1999-04-30,0.0156541000365355,0.00814596670047473,0.0106024839639573
1999-05-31,0.0115391109683737,0.01377035277008,-0.00417273478598866
1999-06-30,0.00646623916517214,0.00813409892297311,-0.0050841363073421
1999-07-30,0.00372548884123854,0.00519681249891722,0.0134688554757427
1999-08-31,-0.0114834277672294,0.00899993976525559,-0.00942998706387004
1999-09-30,0.0168079489044307,0.00427395109427424,0.0166177082264647
1999-10-29,0.00709447245717329,0.0268282495298542,-0.000598877113428532
1999-11-30,0.000223115967664849,0.00401230119222503,-0.00487888797162864
1999-12-30,0.00679083087530617,0.040375256834449,0.0305598618804685
2000-01-31,0.00936131753298588,-0.0064107587171519,-0.00220249430242985
2000-02-29,0.0225091106649602,0.000660574242257794,-0.0082868789721203
2000-03-31,0.000871834031092734,0.015152359392758,0.0116821338780717
2000-04-28,0.0132810061194458,0.0384304295769138,0.0114468428277322
2000-05-31,0.0149859074888898,0.0101254183331682,0.0296163181662658
2000-06-30,0.013593461679887,0.0241064672007099,0.00667036926049537
2000-07-31,0.0172434466192961,0.0108173842429499,0.0191635021058115
2000-08-31,0.0156424596194483,0.0194271407523865,0.0103192188360675
2000-09-29,0.0130507305177897,0.0181001561726431,0.00721170445803621
2000-10-31,0.0266062799681788,0.0233309899946892,0.0329498815735535
2000-11-30,0.00419337861091781,0.0116475120305687,0.014406608042458
2000-12-29,0.00943055795561197,0.0150598116813934,0.0140000717038014
2001-01-31,0.0244076036035429,-0.00123268447685231,0.0138256567503679
2001-02-28,0.00920665690298878,0.0294360127368965,0.0260659026125989
2001-03-30,0.0131859783491779,-0.000784136737936664,0.00831361303096835
2001-04-30,0.0154039268427236,0.0300812485215005,0.0159755121781732
2001-05-31,0.0109993429371793,0.0145897185924682,0.0181713941768808
2001-06-29,0.0173293216946796,0.006501517215676,0.0274854652671741
2001-07-31,0.0174792858175837,0.0190297399327276,0.00176665056357953
2001-08-31,0.0194191873029103,0.023368787751255,0.0207729845554783
2001-09-28,0.00777861046155439,0.0145001635631463,-0.0105070535903792
2001-10-31,0.0363897893933539,0.00330475489942408,0.0179838492135497
2001-11-30,0.0263630189762893,0.0312967631673591,0.0392291705944591
2001-12-28,0.01377500318098,0.00963436512433165,0.0300757776926779
2002-01-31,0.0157309728006294,0.0135377740238866,0.00791123354186806
2002-02-28,0.0252710209759659,-0.00948158416693491,0.0021582529742318
2002-03-28,0.0362730165536952,0.0376797525328811,0.0389069617267478
2002-04-30,0.0249318620751455,0.0335006883717166,0.0154737694940521
2002-05-31,-0.00422653687904079,0.0155803601733711,-0.00468657792708323
2002-06-28,0.0140845374938218,-0.00384035843883372,-0.00956316602322664
2002-07-31,0.0193291391949277,0.0102163500181194,0.010327612319316
2002-08-30,0.0289709873104161,0.00326202039137662,0.00775988859884708
2002-09-30,0.0073033293643345,0.0160413926295729,-0.0173356420651966
2002-10-31,0.0426817193980591,0.00492151688590368,0.0343028082403353
2002-11-29,0.0234128202141159,0.0506282480693464,0.0375741174785011
2002-12-30,0.0107300289871061,0.00825233062117638,-0.0130473548332629
2003-01-31,0.0264695241840587,0.0216711404468736,0.00858421510185836
2003-02-28,0.00485441968597209,-0.00114041607108708,0.00950286011109037
2003-03-31,0.0122519902865353,0.0133181023115861,0.000109817785868218
2003-04-30,0.00941834388446295,0.0183378126786975,0.0212207246216287
2003-05-30,0.0194302053639423,0.00178412420717243,0.00736419284517102
2003-06-30,0.00731105310003647,0.0188319110948752,-0.00268680689524886
2003-07-31,0.00097493713394938,0.0237901059720857,0.0217508302089055
2003-08-29,0.0202960769047306,0.01608867101937,0.0067192067186389
2003-09-30,0.0229998306288819,0.0135368050876252,0.00861474252071004
2003-10-31,0.00688747113236371,0.0214272191417574,0.0245868687416567
2003-11-28,-0.0019271907172287,0.0068987082285135,-0.00649452785554054
2003-12-30,-0.00293176415497072,0.00362949142227135,0.0120248739773023
2004-01-30,-0.00136291413591809,0.0195759186873487,0.00206541655255556
2004-02-27,0.0157191354737489,0.0206757706323779,0.0178143559051262
2004-03-31,0.0152855820830017,0.0205177533580742,0.0153200003208501
2004-04-30,0.0140194752362469,0.0316055352161776,0.0138115649322595
2004-05-28,-0.000480691260706505,0.0114306596579445,0.0149753888200445
2004-06-30,0.0219773362837049,0.0195830590024647,0.011069154670991
2004-07-30,0.0154513746818828,0.0203937373357694,0.0193869907154681
2004-08-31,0.0159855934970742,0.0164039424438745,0.0137935701524576
2004-09-30,0.0189191526710933,0.0197350977008188,0.0167634088092054
2004-10-29,0.00556502336663586,0.0259905775835905,0.00867932891124893
2004-11-30,0.0126402364988276,0.012612837828239,0.0203230530997664
2004-12-30,0.0191883793404099,0.0190264380304261,0.00211339301889214
2005-01-31,0.0116810768868873,0.0124233122395318,0.0196684240759992
2005-02-28,-0.00242397978500842,0.0143387312281174,0.0143971672272923
2005-03-31,-0.00208540529014401,0.0107448158264435,-0.0110813954472696
2005-04-29,0.0127207298293429,0.0145837320115692,0.00427235364648984
2005-05-31,-0.0144439210797485,0.00962365594778175,-0.00111272489968935
2005-06-30,0.0102548786739642,0.00408938891099105,0.0144263998928716
2005-07-29,0.0118260275510125,0.0024613761090113,0.0161584489853293
2005-08-31,-0.0110138704716832,-0.00169208972343452,-0.0312561789237984
2005-09-30,-0.0102955039462397,-0.00439146768294586,-0.00239671177550762
2005-10-31,0.0139638673087806,0.00761383044203955,0.000747581903194335
2005-11-30,0.00688808221474104,0.00367412729976162,0.00592825465767086
2005-12-30,0.020089224516195,-0.00700398111234245,-0.00203924366748488
2006-01-31,-0.01321556003417,0.0192151823892491,0.00108653429675561
2006-02-28,0.0018639716544762,0.0138859007569245,0.028784601217824
2006-03-31,0.00954751431685892,0.00342385427885448,-0.00841123713403151
2006-04-28,0.00538605640472329,0.00342239778424521,-0.00489487919727884
2006-05-31,-9.68825109993934e-05,-0.00535174367190727,-0.0100813257517711
2006-06-30,0.00287742821749585,0.00738941909029397,-0.00533816828853331
2006-07-31,-0.00433952551145093,0.00263505018653879,0.00212848822432173
2006-08-31,0.0182450768648368,-0.00102870408842411,-0.00134386907274427
2006-09-29,0.0107959419587355,-0.00146077507809771,0.00684247711641627
2006-10-31,0.0290890697243664,-0.00192762060324675,0.00973176231710949
2006-11-30,0.0117778114705005,0.0015823991474446,-0.00559823590199113
2006-12-29,-0.00609362944446875,0.0118070279800468,0.0150877439100492
2007-01-31,-0.00299092953143735,0.00661621067576391,0.000650111990896982
2007-02-28,0.0153062968637604,-0.00838281362174842,0.0045315069640353
2007-03-30,0.0023578847688538,0.00859160466219411,0.00113999359225981
2007-04-30,-0.00371415113813342,0.00174748026663766,-0.0112598631707432
2007-05-31,0.0102161871244606,0.00896792591144982,0.00127673091246378
2007-06-29,-0.0156958005635891,0.0025858672196113,0.00200499581391533
2007-07-31,-0.00721274900056989,0.00209371132930474,-0.00447454140571786
2007-08-31,0.0150759126791161,-0.00315985539715979,0.0087255392770091
2007-09-28,-0.00123963176918352,-0.00405164827135561,-0.00904665807979256
2007-10-31,0.0081429496125643,-0.0148153352316407,-0.0157839720061154
2007-11-30,-0.00520737931278794,-0.00250455822471854,-0.00275858639971083
