split_num,node_id,var_id,var_name,var_description,threshold,left_child,right_child
1,1,1,rank_agr,Asset Growth,0.01960784314,25,0
2,3,38,rank_svar,Specific Variance,-0.7647058824,5,1
3,7,31,rank_roa,Return on Assets,-0.05882352941,23,2
4,14,19,rank_me,Market Equity (Size),0.2156862745,30,3
5,28,25,rank_ni,Net Income,0.3725490196,34,4
