Scenario,Data_Type,Period,N_Months,F1_Sharpe,F1_Alpha_CAPM,F1_tstat_CAPM,F1_Alpha_FF3,F1_tstat_FF3,F1_Alpha_FF4,F1_tstat_FF4
Scenario A,IS,1997-09 to 2020-07,275,0.912262916252093,13.089204415213365,3.507228747155377,12.999371119479378,3.530920083827657,12.606429201029258,3.165001501026613
Scenario B,OOS,2010-01 to 2020-07,127,0.796631867842171,4.3843290898916685,3.1249809338422843,4.404542253748831,3.1850675460703433,5.082701073536075,4.059253195881781
Scenario C,OOS,1997-09 to 2009-12,148,0.9170730531357911,14.784494349169004,2.2894429445721167,14.287523429509516,2.2890424442059603,13.620526684890121,2.079175463102597
