isin,company_name,org_perm_id,tax_id,hq_country,orgnr,method
SE0000112724,Svenska Cellulosa Aktiebolaget SCA,4295890025,SE556012629301,SE,5560126293.0,lseg_taxid
SE0000112906,,,,,,none
SE0000113094,Forsakringsaktiebolaget Skandia (publ),4295890362,,SE,,none
SE0000113201,,,,,,none
SE0000113250,Skanska AB,4295889991,SE556000461501,SE,5560004615.0,lseg_taxid
SE0000113516,Spendrups Bryggeriaktiebolag,4295889874,,SE,,none
SE0000113730,Stora Kopparbergs Bergslags AB,4295890030,,SE,,none
SE0000113797,PostNord Stralfors Group AB,4295889908,,SE,,none
SE0000114431,EON Sverige AB,4295890320,SE556006842001,SE,5560068420.0,lseg_taxid
SE0000114456,EON Sverige AB,4295890320,SE556006842001,SE,5560068420.0,lseg_taxid
SE0000114662,Tivox AB,4295889929,,SE,,none
SE0000114837,Trelleborg AB,4295890333,SE556006342101,SE,5560063421.0,lseg_taxid
SE0000115008,,,,,,none
SE0000115107,VBG Group AB (publ),4295889904,SE556069075101,SE,5560690751.0,lseg_taxid
SE0000115354,,,,,,none
SE0000115404,CGI IT konsulter AB,4295889792,,SE,,none
SE0000115420,Volvo AB,4295890024,SE556012579001,SE,5560125790.0,lseg_taxid
SE0000115446,Volvo AB,4295890024,SE556012579001,SE,5560125790.0,lseg_taxid
SE0000115503,Zeteco AB,4298446429,,SE,,none
SE0000115578,,,,,,none
SE0000115610,,,,,,none
SE0000116329,Acrimo AB,4295890192,,SE,,none
SE0000116634,Icb Shipping AB,4295889886,,SE,,none
SE0000116642,Icb Shipping AB,4295889886,,SE,,none
SE0000116949,Rosenborgs Securities AB,5043320125,SE556207800501,SE,5562078005.0,lseg_taxid
SE0000117822,Kappahl Molndal 2 AB,4295889802,,SE,,none
SE0000117970,NCC AB,4295890291,SE556034517401,SE,5560345174.0,lseg_taxid
SE0000118838,Seco Tools AB,4295889842,SE556071106001,SE,5560711060.0,lseg_taxid
SE0000118945,Stora Kopparbergs Bergslags AB,4295890030,,SE,,none
SE0000118952,NCC AB,4295890291,SE556034517401,SE,5560345174.0,lseg_taxid
SE0000119224,,,,,,none
SE0000119299,Elanders AB,4295889889,SE556008162101,SE,5560081621.0,lseg_taxid
SE0000120222,Kinnevik Industriforvaltnings AB,4295890211,,,,none
SE0000120669,SSAB AB,4295889873,SE556016342901,SE,5560163429.0,lseg_taxid
SE0000120727,Kjessler & Mannerstrale AB (Publ),4295889971,,SE,,none
SE0000120776,Elos Medtech AB,4295889902,SE556021965001,SE,5560219650.0,lseg_taxid
SE0000120784,Skandinaviska Enskilda Banken AB,8589934200,SE502032908101,SE,5020329081.0,lseg_taxid
SE0000120818,Trygg-Hansa FAB (publ),4295890428,,SE,,none
SE0000120859,Scandiaconsult AB,4295889834,,SE,,none
SE0000121816,,,,,,none
