date,rm,rf,rm_rf,smb_ew,hml_ew,mom_ew,smb_vw,hml_vw,mom_vw,rolling_vol_daily,rolling_vol_annualized,rolling_vol_annualized_pct,inflation
2001-06-29,-0.0319535842597382,0.0034186111111111,-0.0353721953708493,-0.0610399681754907,0.131843597696758,-0.0573318201537245,-0.0110441094605641,0.0966238665801986,-0.0549926578985922,0.0812213746227412,0.2813590950143464,28.14,0.899143734041633
2001-07-31,-0.0692512337683,0.0031583333333333,-0.0724095671016334,-0.0309195068858649,0.127276164776988,-0.0879990538094912,-0.0755284254058696,0.198031063968527,-0.0860180909252916,0.0792701839900327,0.2745999723921394,27.46,0.899143734041633
2001-08-31,-0.0226930156912791,0.0034788888888888,-0.026171904580168,-0.108470391649201,0.0482062788013074,-0.122399922176372,-0.0447159636160419,0.0148730201451914,0.0766918056353602,0.0626294349531567,0.2169547267763952,21.7,0.899143734041633
2001-09-28,0.0547564062643056,0.0035391666666666,0.0512172395976389,0.165308658505476,-0.0039048697372121,-0.447672278363892,0.0162265898651189,-0.0034389273678671,-0.192694736591628,0.0646777347283961,0.2240502453360881,22.41,2.40595834145438
2001-10-31,-0.107883703913967,0.0030255555555555,-0.110909259469522,-0.0748915513474008,0.205144623467008,0.248806449321945,-0.0487633818677294,0.207256182680229,0.276967982443998,0.0466668123903486,0.1616585801747372,16.17,2.40595834145438
2001-11-30,-0.129533374618797,0.0035477777777777,-0.133081152396575,-0.0221029118323688,0.0510726089728791,0.0971744503345932,0.0490258014878288,0.101706634914664,0.198393964813805,0.0553157507336245,0.1916193814589063,19.16,2.40595834145438
2001-12-28,0.122261002360838,0.003325,0.118936002360838,-0.0697057434559434,-0.0011622096897958,0.0178567795755433,-0.061833448894756,-0.009023363360605,-0.0124612085005374,0.0704344087309985,0.2439919490463246,24.4,2.40595834145438
2002-01-31,0.0078694233806397,0.0034788888888888,0.0043905344917508,0.0025569789794926,0.0544388669963572,0.0403268150141648,0.0456872737845298,0.0467940841433664,0.0627112682281936,0.0711044121638555,0.2463129090202324,24.63,2.40595834145438
2002-02-28,-0.053786205146975,0.0033416666666666,-0.0571278718136416,-0.0395119984086978,0.0442523520009845,0.277980234364578,-0.0544201352256516,0.0607465692187276,0.217422438799561,0.0713405179432933,0.2471308034321265,24.71,2.40595834145438
2002-03-28,-0.0199186587597225,0.0036597222222222,-0.0235783809819447,-0.0125024254177824,0.0367217904490958,-0.00462270687775,-0.0528910840314225,0.0320825374533106,0.116404174671442,0.0706316664141963,0.2446752697052884,24.47,2.40595834145438
2002-04-30,-0.0771579079112801,0.0036597222222222,-0.0808176301335023,-0.0350930771059097,-0.0013401882826412,0.121859865255711,-0.0385568133073701,0.0396165044931661,0.094109752399813,0.0705469718281053,0.2443818790528173,24.44,2.40595834145438
2002-05-31,-0.115902472027151,0.00355,-0.119452472027151,-0.0158684345478863,0.0150610657958852,-0.0472835507480082,-0.0371506564104078,0.0099988842050401,0.228376091269145,0.0732661434839883,0.2538013659777984,25.38,2.40595834145438
2002-06-28,0.0689939807626168,0.0031947222222222,0.0657992585403946,0.0101934708914589,0.0202696543652579,-0.128344079043343,0.0278128853274959,-0.0273522968489654,-0.136679686285782,0.0794527297994744,0.2752323296254628,27.52,2.40595834145438
2002-07-31,0.117881463063739,0.003075,0.114806463063739,0.100917518022497,0.0657284864316929,-0.257549239065717,0.0666743404356974,-0.0264580458522003,-0.346198410901139,0.08863289126094,0.3070333417713513,30.7,2.40595834145438
2002-08-30,0.0165819897538529,0.0032119444444444,0.0133700453094085,-0.0485651702479509,-0.030355000340034,0.0601551183854939,-0.0035720527864623,-0.029209232598259,0.102428508605066,0.088968231441127,0.3081949942311578,30.82,2.40595834145438
2002-09-30,-0.0592954579046629,0.0032119444444444,-0.0625074023491073,0.0051416942451424,0.0418053007196482,0.0010461087044432,0.075927923371003,0.0807204404595735,0.0258269254900034,0.0875472267627965,0.3032724896298348,30.33,2.15848213589264
2002-10-31,0.0070158187186358,0.00294,0.0040758187186358,-0.03743981614713,0.007293812142202,-0.0477079233185375,-0.0264566297780396,0.0075774081653616,0.12869374559768,0.083176296526253,0.2881311431377698,28.81,2.15848213589264
2002-11-29,0.0272965632640012,0.0033325,0.0239640632640012,-0.0075216673019247,-0.0266271316347459,0.0360443176619793,-0.0104979543738564,-0.0140663539875133,0.0018489307428415,0.0744504510708504,0.2579039278022674,25.79,2.15848213589264
2002-12-30,-0.0771047353575885,0.003375,-0.0804797353575885,-0.0528522932024222,-0.0045872368652968,0.117815417246009,-0.0040673857411202,-0.0201651302690888,0.192616482292875,0.0674541337317614,0.2336679736079127,23.37,2.15848213589264
2003-01-31,-0.059869994814666,0.0036683333333333,-0.0635383281479993,-0.0159141275359055,0.0042193316668293,0.0922921470354186,0.0210473996383423,-0.019430393491541,0.123058120772008,0.068388818861123,0.2369058178741797,23.69,2.15848213589264
2003-02-28,-0.074970218063457,0.0035333333333333,-0.0785035513967903,-0.0142043163565714,0.0502947314866364,-0.0627723618192611,-0.0055292480042609,0.0206863755914497,0.0432147821705552,0.0696501965305125,0.2412753582960106,24.13,2.15848213589264
2003-03-31,-0.109516253396015,0.0036511111111111,-0.113167364507126,0.0361822920467152,0.0384117178892713,0.0044560906891129,0.0354359093100697,0.033440949055955,0.0950165672660878,0.0742608640384796,0.2572471790572226,25.72,2.15848213589264
2003-04-30,-0.0266856771123314,0.0036252777777777,-0.0303109548901092,-0.0186808402815734,-0.0017329235937921,-0.0111876227313253,-0.0120944039011649,0.0429190240240034,0.0782856080963882,0.0726166790522606,0.2515515551908759,25.16,2.15848213589264
2003-05-30,-0.150338488090461,0.0034666666666666,-0.153805154757128,0.0308717837854464,-0.0801427598791096,0.119447331051689,-0.0573392474363775,-0.060826612957133,0.147063156968836,0.0771230522743148,0.2671620899478076,26.72,2.15848213589264
2003-06-30,0.128873190063589,0.0035908333333333,0.125282356730256,0.132396549508143,0.279338606126674,-0.626536447713884,0.0331713937733594,0.127391785808316,-0.377351285182117,0.0853180248953556,0.2955503078403645,29.56,2.15848213589264
2003-07-31,0.128262292816318,0.0034,0.124862292816318,0.077785849892391,0.0902270251896471,-0.447489478880541,-0.0019541761272018,0.113096051619413,-0.258222312799953,0.0868523386171681,0.3008653264822233,30.09,2.15848213589264
