"","ym","rm","rf","rm_rf","smb_ew","hml_ew","mom_ew","smb_vw","hml_vw","mom_vw"
"1","1983-02",0.187274476786144,0.00828333333333333,0.17899114345281,0.0059080144820568,0.00944804290628729,-0.099143573277609,0.0297226761488903,0.0372043812703627,-0.05851096902376
"2","1983-03",0.00430554148515862,0.00886944444444445,-0.00456390295928582,0.0323065751515505,0.0469261178834509,0.0405271068385489,-0.00198018499015599,0.0270015566889873,0.0681121214233679
"3","1983-04",0.086422555101629,0.00908333333333333,0.0773392217682956,-0.0572278610222306,0.0140057072830613,0.140571475156042,-0.0662349408405264,-0.00327220613840343,0.174779283523856
"4","1983-05",-0.00988834985260309,0.00921388888888889,-0.019102238741492,0.0659005917067096,0.00800804287501515,0.00835675094792773,0.0524275115787163,-0.0278399357809118,0.00165402058794216
"5","1983-06",-0.0329386941741884,0.00920833333333333,-0.0421470275075218,0.0181692029196407,0.0136850678940053,0.026217029891786,0.0109968230876222,0.0299202637124447,0.0210159684887083
"6","1983-07",0.0933333333333334,0.00985972222222222,0.0834736111111112,0.0185975964010402,0.0115990382475364,0.0505800077334299,0.0271532629959406,0.0169080113425791,0.0893371966732791
"7","1983-08",0.0839024390243903,0.00977361111111111,0.0741288279132792,0.0367204076317001,-0.016398981227551,0.0616261479245868,0.0829047134514959,0.0140082291829436,-0.0366353110742602
"8","1983-09",-0.016324359708698,0.00920833333333333,-0.0255326930420314,0.10320673752187,0.0081046747320207,-0.0211097063800808,0.0976302334021429,-0.0214118277107401,-0.00750923825431721
"9","1983-10",-0.0155762592022627,0.0104194444444444,-0.0259957036467072,0.0193483819981077,-0.00284660752824115,0.0434101599295618,0.00206323555022838,-0.00742159716839721,0.1033648502701
"10","1983-11",0.0767898261402286,0.0100833333333333,0.0667064928068953,0.021661044890173,0.025003326091148,0.0462047228193885,0.0388050719138558,0.0396809747025491,-0.00436561798693926
"11","1983-12",-0.0441222632033273,0.0103763888888889,-0.0544986520922162,-0.00433507924467285,0.0373518317810365,-0.0334723270902943,-0.00374689577998221,0.0327539490877951,-0.00450632333531498
"12","1984-01",0.0919278369558524,0.0101611111111111,0.0817667258447413,-0.00623866340500082,0.0422465331813912,-0.0406868888603897,0.00921150056138541,0.0345372418795651,-0.0271781950101982
"13","1984-02",-0.0226495244539677,0.00886111111111111,-0.0315106355650788,0.020364832077456,0.00906301158326951,-0.0119618099215177,0.0204100142232256,0.014194154036105,-0.00152321464921774
"14","1984-03",0.0385214531607592,0.0096875,0.0288339531607592,-0.000504891211000058,0.0855154989787137,-0.0697271304883307,-0.00136950531730309,0.0784088129950633,-0.0501585129822174
"15","1984-04",-0.0377222222222222,0.00875,-0.0464722222222222,0.00862577035091946,0.0358489649603236,-0.00758062414436547,0.0111708620062081,0.0561252865490072,-0.00378335123833848
"16","1984-05",-0.0721090006350671,0.00899861111111111,-0.0811076117461783,0.0220836411546566,0.0301816174094733,-0.0192202158130788,-0.00131434818201417,0.0347707095271126,-0.0244336383238814
"17","1984-06",0.0340550854488136,0.00966666666666667,0.0243884187821469,0.0296081579461709,-0.0115264527621262,-0.087687638040415,0.0151792944304642,-0.0166795375501364,-0.0537665350565879
"18","1984-07",0.00369048096594332,0.0117972222222222,-0.0081067412562789,0.0029501783667385,0.0123549460814496,0.00540343109403909,-0.0123166919658171,0.0162879521948975,0.000407790288733854
"19","1984-08",-0.0202030294552576,0.0117541666666667,-0.0319571961219243,0.00701682031801346,-0.0118701357522902,0.0225075614587752,-0.00961427130267643,0.00582363313749713,0.0210555227083798
"20","1984-09",-0.042320164793702,0.011375,-0.0536951647937021,-0.0383076168824737,-0.0352736463089211,0.0385586459325972,-0.0328527453375518,-0.023112925296627,0.0447359717492349
"21","1984-10",-0.0195715137575602,0.0117111111111111,-0.0312826248686713,-0.00866346232584668,-0.00609741178932331,0.0203413375161661,-0.0157542810575698,-0.00242832920670173,-0.00435669034410283
"22","1984-11",-0.043356430697048,0.00954166666666667,-0.0528980973637146,0.0088931878601656,0.0146495484341476,-0.0168119723960032,0.0211985149252063,0.00886042238117915,0.00826099706507433
"23","1984-12",0.00422333734474685,0.00990277777777778,-0.00567944043303093,-0.027503747871864,0.00610747897592299,0.0346181472719844,-0.00012056107920835,0.0339205020382227,0.020227467265442
"24","1985-01",0.0563682818187984,0.00990277777777778,0.0464655040410206,-0.0227528153923805,0.0448690191772202,-0.0737018891849218,-0.0416402396957198,0.0402283865083453,-0.0503049460403841
"25","1985-02",-0.0197131849315068,0.0105,-0.0302131849315068,0.0284871854184248,0.00798263159570694,-0.0518815236592605,0.00939156677868475,0.0101783583209946,-0.0247129943967102
"26","1985-03",-0.0197384222362934,0.0116680555555556,-0.031406477791849,0.0142275660015009,0.0321707207508063,-0.0143957038998786,0.0097579126323793,0.0367887079549658,-0.0225871386590788
"27","1985-04",0.0384675353602852,0.011375,0.0270925353602852,0.000965148678706972,0.0279340222284244,0.0253681227007295,0.00638027722197079,0.0121302578523535,0.0331082490587629
"28","1985-05",-0.0506842263309168,0.0117111111111111,-0.0623953374420279,-0.00206567161984546,-0.0054199354632422,0.00918055101700893,-0.00963807927388263,0.0178429255436169,0.0280373472385812
"29","1985-06",-0.0144377414763099,0.0134166666666667,-0.0278544081429766,-0.0128947873213792,0.0304772935661747,0.0112891156475613,-0.00981266462868029,0.0123384203338982,0.0188589535349857
"30","1985-07",0.0286565795506649,0.0138380555555556,0.0148185239951093,-0.0233730845078534,-0.00108524301463681,-0.00174059228253943,-0.0342663329448259,-0.00703455633386119,0.0143735620871261
