isin,orgnr,company_name,source
SE0000107419,5560138298,Investor AB ser. B,opencorporates
SE0000242455,5020177753,Swedbank AB ser. A,allabolag
SE0011166610,5556976963,Atlas Copco AB ser. A,previous_manual
SE0000667891,5560003468,Sandvik AB,previous_manual
SE0012455673,5560514142,Boliden AB,allabolag
SE0000103699,5560397811,Hexagon AB ser. B,company_registry
SE0007100599,5020077862,SHB AB ser. A,previous_manual
SE0000310336,5560316181,Swedish Match AB,company_registry
SE0014684528,5556748025,Kinnevik AB ser. B,company_registry
SE0013256682,5556748025,Kinnevik AB ser. B,company_registry
SE0011166628,5556976963,Atlas Copco AB ser. B,company_registry
SE0008321293,5556380004,NIBE Industrier AB ser. B,company_registry
SE0011166933,5559220277,Epiroc AB Ser A,company_registry
SE0000455057,5556525149,Balder Fastighets AB ser. B,company_registry
SE0013121589,5559172838,Embracer Group AB ser. B,company_registry
SE0007704788,5556721604,Stillfront Group AB,company_registry
SE0014428835,5566777917,VNV Global AB,manual
SE0007100607,5020077862,Svenska Handelsbanken AB,manual
SE0000426546,5560163493,Handelsbanken,manual
SE0014399424,5560369190,Fastighets AB Balder,manual
SE0003652163,5560125790,Momentum Group AB,manual
SE0002017657,5560726972,Mekonomen AB,manual
SE0000567729,5560163493,Handelsbanken,manual
SE0005677135,5560369190,Fastighets AB Balder,manual
SE0008008262,5560730015,Hufvudstaden AB,manual
SE0007603493,5560125790,Momentum Group AB,manual
SE0007439112,556882-8908,Sinch AB,manual
SE0000382335,556114-5851,Autoliv AB,manual
SE0000112385,556036-0793,SAAB AB,manual
SE0008374250,556154-2381,Fingerprint Cards AB,manual
SE0006370730,556058-1523,Lifco AB,manual
SE0011166941,556625-6902,Epiroc AB,manual
SE0012455525,556053-4207,NetEnt AB,manual
SE0000107401,556056-2091,Investor AB,manual
SE0002683557,556011-5036,Loomis AB,manual
SE0012454072,556302-5921,Avanza AB,manual
SE0012454379,556426-8093,Betsson AB,manual
SE0000375115,556391-3166,Mycronic AB,manual
SE0000489098,556542-9841,SWECO AB ser. B,manual
SE0000489080,556542-9841,SWECO AB ser. A,manual
SE0007074844,556072-1523,Wallenstam AB ser. B,manual
SE0011205194,556367-0230,Wihlborgs Fastigheter AB,manual
SE0014609061,556064-8304,SECTRA AB ser B,manual
SE0012853661,556064-8304,SECTRA AB ser B,manual
SE0005568136,556302-9726,Addtech AB ser. B,manual
SE0000191827,556175-7047,Atrium Ljungberg AB ser. B,manual
SE0000109811,556080-4592,Nolato AB ser. B,manual
SE0001966656,556469-6291,Fortnox AB,manual
SE0002133975,556160-4108,Systemair AB,manual
SE0014684510,556047-9742,Kinnevik AB ser. A,manual
SE0013256674,556047-9742,Kinnevik AB ser. A,manual
SE0009664253,559015-8944,Instalco AB,manual
SE0000470395,556380-8723,BioGaia AB ser. B,manual
SE0007982814,556995-8126,AddLife AB,manual
SE0000412371,556309-9158,Modern Times Group MTG AB ser. B,manual
SE0012676336,556057-3981,Heba Fastighets AB ser. B,manual
SE0013382355,556827-0390,K-Fast Holding AB Ser. B,manual
SE0000472268,556291-3185,Addnode Group AB ser. B,manual
SE0009947534,556670-2519,Sedana Medical AB,manual
SE0008321608,556063-9144,Investment AB Öresund,manual
SE0005876968,556047-0320,OEM International AB ser. B,manual
SE0009921471,556183-6118,Trianon Fastighets AB ser. B,manual
SE0010663310,556469-2019,Svolder AB ser. B,manual
SE0000772956,556281-8830,AQ Group AB,manual
