"month","factor1","factor2","factor3","factor4","factor5"
2011-09-30,0.0590471542498008,-0.00366513838799215,0.0590471542498008,0.0590471542498008,0.0590471542498008
2011-10-31,0.062462397530609,0.0200117590941374,0.062462397530609,0.062462397530609,0.062462397530609
2011-11-30,0.0533831206394424,0.00118576140395131,0.0533831206394424,0.0533831206394424,0.0533831206394424
2011-12-30,0.072558081233037,0.0147781564423724,0.072558081233037,0.072558081233037,0.072558081233037
2012-01-31,0.0692109406964421,0.0381420870628266,0.0692109406964421,0.0692109406964421,0.0692109406964421
2012-02-29,0.0683306162050691,0.0183663669408079,0.0683306162050691,0.0683306162050691,0.0683306162050691
2012-03-30,0.0758320370387811,0.01804329939892,0.0758320370387811,0.0758320370387811,0.0758320370387811
2012-04-30,0.0966540777691373,-0.00773877973158524,0.0966540777691373,0.0966540777691373,0.0966540777691373
2012-05-31,0.112936933751815,-0.00644948851074574,0.112936933751815,0.112936933751815,0.112936933751815
2012-06-29,0.0949695631895824,0.00526851109881946,0.0949695631895824,0.0949695631895824,0.0949695631895824
2012-07-31,0.121968631768462,0.0424305757604981,0.121968631768462,0.121968631768462,0.121968631768462
2012-08-31,0.097338474873223,0.0167455637188935,0.097338474873223,0.097338474873223,0.097338474873223
2012-09-28,0.0774071385469133,-0.0159604345052385,0.0774071385469133,0.0774071385469133,0.0774071385469133
2012-10-31,0.0884963999549753,-0.0129633595688585,0.0884963999549753,0.0884963999549753,0.0884963999549753
2012-11-30,0.0797038314364434,-0.0191679067340222,0.0797038314364434,0.0797038314364434,0.0797038314364434
2012-12-28,0.0787934134577102,-0.00236057487448332,0.0787934134577102,0.0787934134577102,0.0787934134577102
2013-01-31,0.0787797466450406,0.0159243576028572,0.0787797466450406,0.0787797466450406,0.0787797466450406
2013-02-28,0.0670541009198867,-0.00592273736407962,0.0670541009198867,0.0670541009198867,0.0670541009198867
2013-03-28,0.0682829478508598,0.00139808885126026,0.0682829478508598,0.0682829478508598,0.0682829478508598
2013-04-30,0.0778405376329264,0.0200479792417611,0.0778405376329264,0.0778405376329264,0.0778405376329264
2013-05-31,0.0891788693910972,0.00506588314673489,0.0891788693910972,0.0891788693910972,0.0891788693910972
2013-06-28,0.0706631309171884,0.00508789203750906,0.0706631309171884,0.0706631309171884,0.0706631309171884
2013-07-31,0.168548622868089,0.0807400059482248,0.168548622868089,0.168548622868089,0.168548622868089
2013-08-30,0.182922401892775,0.0874157700564864,0.182922401892775,0.182922401892775,0.182922401892775
2013-09-30,0.194693587995227,0.0620416049695549,0.194693587995227,0.194693587995227,0.194693587995227
2013-10-31,0.177159208374833,0.07605884652414,0.177159208374833,0.177159208374833,0.177159208374833
2013-11-29,0.128810363723197,-0.0355342916406325,0.128810363723197,0.128810363723197,0.128810363723197
2013-12-30,0.0976694045885673,-0.0131205683696108,0.0976694045885673,0.0976694045885673,0.0976694045885673
2014-01-31,0.089060104353357,-0.017930116233924,0.089060104353357,0.089060104353357,0.089060104353357
2014-02-28,0.108539148628448,-0.0119947661907135,0.108539148628448,0.108539148628448,0.108539148628448
2014-03-31,0.0667624389431829,-0.0189840497810967,0.0667624389431829,0.0667624389431829,0.0667624389431829
2014-04-30,0.10990992283088,0.0288034959690543,0.10990992283088,0.10990992283088,0.10990992283088
2014-05-30,0.0938088508059049,-0.00837083841799288,0.0938088508059049,0.0938088508059049,0.0938088508059049
2014-06-30,0.125544387734724,-0.027383952171454,0.125544387734724,0.125544387734724,0.125544387734724
2014-07-31,0.115780173445498,-0.0161945175715142,0.115780173445498,0.115780173445498,0.115780173445498
2014-08-29,0.112763954081129,0.0075827174012788,0.112763954081129,0.112763954081129,0.112763954081129
2014-09-30,0.159227950319135,0.0641691918606472,0.159227950319135,0.159227950319135,0.159227950319135
2014-10-31,0.136866008776022,-0.0287445995888113,0.136866008776022,0.136866008776022,0.136866008776022
2014-11-28,0.106700570187261,0.000899349596180044,0.106700570187261,0.106700570187261,0.106700570187261
2014-12-30,0.114318655598379,0.0133287346121354,0.114318655598379,0.114318655598379,0.114318655598379
2015-01-30,0.0988647152536174,0.00499823046969283,0.0988647152536174,0.0988647152536174,0.0988647152536174
2015-02-27,0.123987740759407,-0.0119021778946397,0.123987740759407,0.123987740759407,0.123987740759407
2015-03-31,0.0950021413962858,-0.00810409242821405,0.0950021413962858,0.0950021413962858,0.0950021413962858
2015-04-30,0.116639307440634,-0.00478388842271502,0.116639307440634,0.116639307440634,0.116639307440634
2015-05-29,0.120621843578335,0.00233532198247319,0.120621843578335,0.120621843578335,0.120621843578335
2015-06-30,0.146949797787838,0.0597664729023771,0.146949797787838,0.146949797787838,0.146949797787838
2015-07-31,0.164429482949042,0.0879085748255299,0.164429482949042,0.164429482949042,0.164429482949042
2015-08-31,0.0935625247295538,-0.00576339676246809,0.0935625247295538,0.0935625247295538,0.0935625247295538
2015-09-30,0.105179820546169,0.00494733883539291,0.105179820546169,0.105179820546169,0.105179820546169
2015-10-30,0.0898401272228298,0.00505438262091533,0.0898401272228298,0.0898401272228298,0.0898401272228298
2015-11-30,0.0821953414360038,0.000727734005185398,0.0821953414360038,0.0821953414360038,0.0821953414360038
2015-12-30,0.133350747184807,-0.00491613398907567,0.133350747184807,0.133350747184807,0.133350747184807
2016-01-29,0.11396550061146,0.00450207427977107,0.11396550061146,0.11396550061146,0.11396550061146
2016-02-29,0.0965971530544758,-0.00726046762194116,0.0965971530544758,0.0965971530544758,0.0965971530544758
2016-03-31,0.104736920425251,0.00593524376826193,0.104736920425251,0.104736920425251,0.104736920425251
