scenario,sharpe,mean_ann,sd_ann,capm_alpha,capm_tstat,ff3_alpha,ff3_tstat,n_months
scenario_a (Ensemble),0.560855522637812,0.00117479758059743,0.00209465278165066,0.00112726716281496,1.7600666877909,0.00106079817201245,1.58171609802419,258
scenario_b_test (Ensemble),0.87779179372805,0.00134505185424501,0.0015323130882011,0.00110421359473962,2.6288397197192,0.00113381307747317,2.66150218321894,119
scenario_c_test (Ensemble),0.472514269666981,0.000990467399258032,0.00209616399512356,0.000997256036780381,1.34890850708701,0.00068337474475799,0.995526703239489,139
