scenario,n_months,mean_monthly,sd_monthly,sharpe_ratio,capm_alpha,capm_beta,capm_tstat,capm_r2,ff3_alpha,ff3_tstat,ff3_r2
Scenario A (Full Sample),258,0.0082945092975621,0.0311206720667213,0.923277716909766,0.00807040711434653,0.0327759313685695,4.44892209584874,0.00345309417989637,0.00800755562074951,4.43328943144784,0.00451493599544426
Scenario B (Train 1998-2009),139,0.00823310574574692,0.0318662312846392,0.895001189713632,0.00850799650076974,-0.0786681195639009,3.36205505535228,0.0274730673617842,0.00842750717605922,3.43127370668636,0.0349303812423573
Scenario B (Test 2010-2019),119,0.00238759277678176,0.0154939532793124,0.533812374752945,0.00256629838252148,-0.0166356056170675,2.07357854518982,0.00170593373558231,0.002673625570876,2.01681250614965,0.0744164138163429
Scenario C (Train 2010-2019),119,0.00853481387698584,0.020729576463904,1.42624537397803,0.00799517936596559,0.0502342770140474,5.57702487910328,0.00869018184695803,0.00802351257796055,5.35358071756439,0.0430163723038262
Scenario C (Test 1998-2009),139,0.00311212654421497,0.0225728087959893,0.477597745400814,0.00309280190195279,0.00553031791805582,1.32532636505577,0.000270582690506361,0.00282679127586629,1.20660383069999,0.0303601970603894
