gvkey,permno,sic,ret,exchcd,shrcd,date,ffi49,lag_me,log_me,rank_me,rank_bm,rank_mom12m,rank_mom1m,rank_beta,rank_turn,rank_roa,rank_ep,rank_cfp,rank_sp,rank_gma,rank_cinvest,rank_lev,rank_sgr,rank_ato,rank_noa,rank_roe,rank_agr,rank_bm_ia,xret
1,1,1000,,1,10,2010-09-30,1,1070928532.3,20.79179189630687,0.49673202614379086,0.07894736842105263,,,,0.5196078431372549,0.39072847682119205,0.48344370860927155,,0.4966887417218543,,,,,0.804635761589404,,,,0.5794701986754967,
1,1,1000,0.1928223132436122,1,10,2010-10-29,1,1070928532.3,20.96811643362845,0.5357142857142857,0.0915032679738562,,0.9803921568627451,,0.9318181818181818,0.3980263157894737,0.4868421052631579,,0.47368421052631576,,,,,0.8092105263157895,,,,0.6052631578947368,0.1928223132436122
1,1,1000,0.0375923866832363,1,10,2010-11-30,1,1277430446.6,21.00139122251332,0.5244299674267101,0.08552631578947369,,0.7269736842105263,,0.8697068403908795,0.39603960396039606,0.48514851485148514,,0.46864686468646866,,,,,0.8052805280528053,,,,0.6072607260726073,0.0375923866832363
1,1,1000,-0.0217398156173665,1,10,2010-12-30,1,1320651777.5,20.979331504448588,0.5191082802547771,0.09003215434083602,,0.14838709677419354,,0.7356687898089171,0.4032258064516129,0.4967741935483871,,0.4774193548387097,,,,,0.8096774193548387,,,,0.6129032258064516,-0.0217398156173665
1,1,1000,0.007410330967934,1,10,2011-01-31,1,1291837556.9,20.983042083845124,0.49504950495049505,0.12624584717607973,,0.5116279069767442,,0.8811881188118812,0.36,0.44,0.6156462585034014,0.47,0.2755102040816326,0.8979591836734694,0.8333333333333334,,0.78,0.30612244897959184,0.7551020408163265,,0.5966666666666667,0.007410330967934
1,1,1000,-0.0514747623349935,1,10,2011-02-28,1,1296639927.0,20.921954391865285,0.48494983277591974,0.12794612794612795,,0.34459459459459457,,0.7324414715719063,0.3593220338983051,0.4406779661016949,0.6193771626297578,0.488135593220339,0.2837370242214533,0.8961937716262975,0.8373702422145328,,0.7762711864406779,0.31141868512110726,0.7508650519031141,,0.5864406779661017,-0.0514747623349935
1,1,1000,-0.0310031778678783,1,10,2011-03-31,1,1219802005.4,21.470318700072063,0.5570469798657718,0.07094594594594594,,0.13851351351351351,0.5684931506849316,0.6476510067114094,0.35714285714285715,0.40476190476190477,0.5520833333333334,0.3979591836734694,0.2673611111111111,0.90625,0.84375,,0.7755102040816326,0.2986111111111111,0.7604166666666666,,0.673469387755102,-0.0310031778678783
1,1,1000,-0.0280022617545995,1,10,2011-04-29,1,2110770112.5,21.437795508366502,0.5610561056105611,0.09666666666666666,,0.24496644295302014,0.48299319727891155,0.9174917491749175,0.3523489932885906,0.40939597315436244,0.565068493150685,0.3959731543624161,0.27491408934707906,0.9003436426116839,0.8041237113402062,,0.7751677852348994,0.29896907216494845,0.7525773195876289,,0.674496644295302,-0.0280022617545995
1,1,1000,-0.1234606572635498,1,10,2011-05-31,1,2043225468.9,21.310149947919243,0.5639344262295082,0.10927152317880795,,0.12040133779264214,0.6450511945392492,0.7377049180327869,0.3422818791946309,0.412751677852349,0.564625850340136,0.4228187919463087,0.27147766323024053,0.9072164948453608,0.8122866894197952,,0.7818791946308725,0.29553264604810997,0.7594501718213058,,0.6610738255033557,-0.1234606572635498
1,1,1000,0.0281700207267641,1,10,2011-06-30,1,1798376135.85,21.482617786150957,0.5860927152317881,0.08361204013377926,,0.8922558922558923,0.5448275862068965,0.6357615894039735,0.3469387755102041,0.40476190476190477,0.5413793103448276,0.35714285714285715,0.2857142857142857,0.8954703832752613,0.8096885813148789,,0.7789115646258503,0.31010452961672474,0.7526132404181185,,0.6802721088435374,0.0281700207267641
1,1,1000,-0.0913207547169812,1,10,2011-07-29,1,2136890957.8,21.386389754056403,0.5886287625418061,0.09121621621621621,,0.27946127946127947,0.493006993006993,0.6555183946488294,0.3436426116838488,0.4020618556701031,0.5435540069686411,0.38144329896907214,0.28169014084507044,0.897887323943662,0.8251748251748252,,0.7731958762886598,0.30633802816901406,0.7535211267605634,,0.6735395189003437,-0.0913207547169812
1,1,1000,-0.1708559188669347,1,10,2011-08-31,1,1940845915.8,21.204068197262448,0.5921052631578947,0.08940397350993377,,0.22259136212624583,0.5445205479452054,0.6151315789473685,0.3434343434343434,0.39730639730639733,0.5517241379310345,0.3838383838383838,0.2743055555555556,0.9027777777777778,0.8206896551724138,,0.7710437710437711,0.2986111111111111,0.7604166666666666,,0.6734006734006734,-0.1708559188669347
1,1,1000,0.0424278370897588,1,10,2011-09-30,1,1617371596.5,21.24561720017532,0.6086956521739131,0.08080808080808081,0.36727272727272725,0.9461279461279462,0.5226480836236934,0.6421404682274248,0.3470790378006873,0.4020618556701031,0.5226480836236934,0.36769759450171824,0.2826855123674912,0.901060070671378,0.8286713286713286,0.47153024911032027,0.7766323024054983,0.30742049469964666,0.7597173144876325,0.4786476868327402,0.6838487972508591,0.0424278370897588
1,1,1000,0.2267445536041674,1,10,2011-10-31,1,1685987361.2,21.445230254079334,0.6324503311258278,0.07,0.31785714285714284,0.9230769230769231,0.5567010309278351,0.6324503311258278,0.35714285714285715,0.40816326530612246,0.506896551724138,0.3435374149659864,0.2771929824561403,0.8982456140350877,0.8235294117647058,0.4575971731448763,0.7789115646258503,0.30526315789473685,0.7614035087719299,0.4752650176678445,0.7142857142857143,0.2267445536041674
