"month","factor"
1997-03-27,-0.00127006270161447
1997-04-30,0.00322689735717108
1997-05-30,-0.00467335734600537
1997-06-30,0.0127225889853292
1997-07-31,0.0328161236308291
1997-08-29,0.00179142617998228
1997-09-30,0.0558396378654675
1997-10-31,-0.0642166855678319
1997-11-28,0.0275428217439602
1997-12-30,0.0365999704761814
1998-01-30,-0.0158573695786896
1998-02-27,0.0462329989424645
1998-03-31,0.0523468955863435
1998-04-30,0.0260424719572853
1998-05-29,0.0580241612850674
1998-06-30,-0.00437108239640668
1998-07-31,0.0232866200470333
1998-08-31,-0.109280791574732
1998-09-30,-0.0810375926202226
1998-10-30,-0.026540493418917
1998-11-30,0.0562490398615649
1998-12-30,-0.00600936595573595
1999-01-29,-0.0203960815359383
1999-02-26,-0.00202153255093219
1999-03-31,-0.00339056349615034
1999-04-30,0.0514892783874385
1999-05-31,0.0071076238708054
1999-06-30,0.010205601743969
1999-07-30,-0.00647017702807866
1999-08-31,0.0201274739534498
1999-09-30,0.0083857856256154
1999-10-29,0.0175284166987131
1999-11-30,0.160512613387704
1999-12-30,0.168243089424045
2000-01-31,0.103239601298516
2000-02-29,0.181295840973878
2000-03-31,-0.0466801857501512
2000-04-28,-0.0484208531788895
2000-05-31,-0.0311834299332068
2000-06-30,-0.0330418315683164
2000-07-31,0.00324339114528742
2000-08-31,0.0306809399515133
2000-09-29,0.0123214452302645
2000-10-31,0.021985721985691
2000-11-30,-0.00218503541385219
2000-12-29,-0.00406963101048716
2001-01-31,0.00218156080945012
2001-02-28,0.00837822195949409
2001-03-30,-0.0260409760804133
2001-04-30,0.0695117808754089
2001-05-31,0.0486645390645827
2001-06-29,0.0100657525738251
2001-07-31,-0.00931082995987279
2001-08-31,-0.00971571054883925
2001-09-28,-0.0660207179230214
2001-10-31,0.0341836045748435
2001-11-30,0.036392172906226
2001-12-28,0.0328698272790482
2002-01-31,0.00966316505060384
2002-02-28,0.0220131610005722
2002-03-28,0.0380288183442096
2002-04-30,-0.0266951106849309
2002-05-31,0.00304620273273876
2002-06-28,-0.0308387304881764
2002-07-31,-0.051124969202973
2002-08-30,-0.00439941274414451
2002-09-30,-0.0766845147015085
2002-10-31,-0.010170095078819
2002-11-29,0.0576644146559205
2002-12-30,-0.0532568263567389
2003-01-31,-0.0208640363831464
2003-02-28,-0.0125144296361483
2003-03-31,-0.0273369157733666
2003-04-30,0.0767139431979326
2003-05-30,0.0222805699977018
2003-06-30,0.0384432426190206
2003-07-31,0.0875494794707368
2003-08-29,0.0477250647351961
2003-09-30,0.0156791991772252
2003-10-31,0.0966478224870447
2003-11-28,0.0435067993068378
2003-12-30,0.0141860548102784
2004-01-30,0.0953718995454089
2004-02-27,0.0488580202210174
2004-03-31,-0.0060170506589652
2004-04-30,0.00740337492788117
2004-05-28,-0.0007299665850891
2004-06-30,0.0263535145701048
2004-07-30,-0.0112378464123781
2004-08-31,-0.0103245130093231
2004-09-30,0.0438712374993414
2004-10-29,0.0374969637831239
2004-11-30,0.0650155195947146
2004-12-30,0.0504074285699934
2005-01-31,0.0285172246705768
2005-02-28,0.0679563565640992
2005-03-31,0.0407809345894589
2005-04-29,-0.0133553890857416
2005-05-31,0.0327472840027764
2005-06-30,0.0508133038626337
2005-07-29,0.0497965154159187
2005-08-31,0.0244754800213662
2005-09-30,0.0536152556227443
2005-10-31,-0.0156699178090982
2005-11-30,0.0489538641084462
2005-12-30,0.0690579215634571
2006-01-31,0.0235591465014019
2006-02-28,0.0438469425347555
2006-03-31,0.0482272839233853
2006-04-28,0.0402938185101431
2006-05-31,-0.0690843857417941
2006-06-30,-0.00787126020617446
2006-07-31,-0.0179296621619828
2006-08-31,0.0148296321134577
2006-09-29,0.0365889963430243
2006-10-31,0.0339065321715805
2006-11-30,0.0142326622242698
2006-12-29,0.0818978367247829
2007-01-31,0.0309964960874391
2007-02-28,-0.0160444286866348
2007-03-30,0.0538173487386194
2007-04-30,0.0603720338211822
2007-05-31,0.0269563753929441
2007-06-29,-0.0224350352399345
2007-07-31,-0.0102356889508468
2007-08-31,-0.0365540246532527
2007-09-28,-0.0103121888594786
2007-10-31,-0.00982923734983746
2007-11-30,-0.0512439615038275
2007-12-28,-0.015658594907059
2008-01-31,-0.0828257008329431
2008-02-29,0.0288119505118355
2008-03-31,-0.00712882323626938
2008-04-30,-0.010671220960574
2008-05-30,0.00708732894659667
2008-06-30,-0.0696673451408597
2008-07-31,-0.0225749797505313
2008-08-29,0.0070425096153061
2008-09-30,-0.0920242339200164
2008-10-31,-0.111631971579262
2008-11-28,-0.0801442359481906
2008-12-30,-0.051427175588076
2009-01-30,0.00977629206216985
2009-02-27,-0.00301784606125368
2009-03-31,-0.0162459380016854
2009-04-30,0.109199778656771
2009-05-29,0.0245743382694056
2009-06-30,-0.0275120945677585
2009-07-31,0.0286517352564312
2009-08-31,0.0396803257842098
2009-09-30,0.0285218032091567
2009-10-30,0.025208502930375
2009-11-30,0.0347206412634088
2009-12-30,0.0171749566532773
