Metric,Value
Scenarios Tested (Traditional),"3 (A, B, C)"
Rolling Windows (Anti-Overfitting),20
Average OOS Sharpe (Rolling),1.494
Median OOS Sharpe (Rolling),1.249
Std Dev OOS Sharpe (Rolling),2.172
Positive Windows,17/20
Success Rate,85%
Scenario B OOS Sharpe,0.797
Scenario C OOS Sharpe,0.917
Characteristics Used,34
Sample Period,1997-2022
