Scenario,19Char_Tree1,28Char_Tree1,Tree1_Diff,Tree1_Pct,19Char_Tree2,28Char_Tree2,Tree2_Diff,Tree2_Pct,19Char_Tree3,28Char_Tree3,Tree3_Diff,Tree3_Pct,19Char_Nodes,28Char_Nodes
A: Full Sample,1.271,0.864964791035795,-0.40603520896420486,-31.94612186972501,1.347,0.587155484543858,-0.759844515456142,-56.410134777738826,1.207,0.412887319018885,-0.7941126809811151,-65.79226851541964,7,5
B: Time Split,2.836,2.15313963345076,-0.6828603665492397,-24.078292191440045,1.497,1.97560065042502,0.47860065042502,31.97065133099666,2.498,0.667428192256215,-1.8305718077437851,-73.2814975077576,19,19
C: Reverse Split,1.152,0.915810154654232,-0.23618984534576792,-20.502590741820136,0.986,0.844152002438651,-0.14184799756134903,-14.38620664922404,0.823,0.602630947687219,-0.22036905231278092,-26.776312553193307,7,5
