Characteristic,Mean,Median,SD,Min,Max,Coverage (%)
rank_mom12m,-0.00050279178485597,0,0.552329044271205,-1,1,100
rank_bm,0.000557767721869778,0,0.576498831180162,-1,1,100
rank_me,0.00107304854119883,0,0.579563607624245,-1,1,100
rank_roa,0.00037417725934251,0,0.575966057940769,-1,1,100
rank_svar,0.000592008019664748,0,0.561136663301541,-1,1,100
rank_dolvol,2.64238979086368e-06,0,0.567605024371262,-1,1,100
rank_turn,-0.00140103550753422,0,0.568397257820888,-1,1,100
rank_ill,-0.000207931474144891,0,0.561793419667999,-1,1,100
