"date","tree_1","tree_2","tree_3","tree_4","tree_5"
1997-02-28,0.0368743574242001,0.0368743574242001,0.0368743574242001,0.0368743574242001,0.041043618495906
1997-03-27,0.0311167163316736,0.0311167163316736,0.0311167163316736,0.0311167163316736,0.0359325820729567
1997-04-30,-0.0262590805892018,-0.0262590805892018,-0.0262590805892018,-0.0262590805892018,-0.0336121547218452
1997-05-30,0.0503836039578225,0.0503836039578225,0.0503836039578225,0.0503836039578225,0.0634122951827231
1997-06-30,0.0471546852308956,0.0471546852308956,0.0471546852308956,0.0471546852308956,0.0617166384955469
1997-07-31,0.0631813249075927,0.0631813249075927,0.0631813249075927,0.0631813249075927,0.0782356698166059
1997-08-29,-0.0452871637873753,-0.0452871637873753,-0.0452871637873753,-0.0452871637873753,-0.0514171117304483
1997-09-30,0.0478597353382765,0.0478597353382765,0.0478597353382765,0.0478597353382765,0.0565415849162376
1997-10-31,-0.0738987258921621,-0.0738987258921621,-0.0738987258921621,-0.0738987258921621,-0.0889475786747378
1997-11-28,0.040828655192302,0.040828655192302,0.040828655192302,0.040828655192302,0.0487253156020651
1997-12-30,-0.00749818022207834,-0.00749818022207834,-0.00749818022207834,-0.00749818022207834,-0.00691127136692978
1998-01-30,0.0381624343466719,0.0381624343466719,0.0381624343466719,0.0381624343466719,0.0432972632682579
1998-02-27,0.0670351773342583,0.0670351773342583,0.0670351773342583,0.0670351773342583,0.0795644077097904
1998-03-31,0.0389978449203241,0.0389978449203241,0.0389978449203241,0.0389978449203241,0.0480497640762072
1998-04-30,0.0161470486903669,0.0161470486903669,0.0161470486903669,0.0161470486903669,0.0190183788621662
1998-05-29,0.0480188438215003,0.0480188438215003,0.0480188438215003,0.0480188438215003,0.0603921525785646
1998-06-30,0.0188382814024889,0.0188382814024889,0.0188382814024889,0.0188382814024889,0.0246687846647643
1998-07-31,-0.00459266638505033,-0.00459266638505033,-0.00459266638505033,-0.00459266638505033,-0.00354890267096133
1998-08-31,-0.113622344895889,-0.113622344895889,-0.113622344895889,-0.113622344895889,-0.139994875700035
1998-09-30,-0.0798412080162989,-0.0798412080162989,-0.0798412080162989,-0.0798412080162989,-0.0992236231233564
1998-10-30,0.0299760012824573,0.0299760012824573,0.0299760012824573,0.0299760012824573,0.0429835279545516
1998-11-30,0.0889269043184739,0.0889269043184739,0.0889269043184739,0.0889269043184739,0.108402428224324
1998-12-30,-0.0152291827083453,-0.0152291827083453,-0.0152291827083453,-0.0152291827083453,-0.0142535368793989
1999-01-29,0.0162556129708313,0.0162556129708313,0.0162556129708313,0.0162556129708313,0.0129996333718658
1999-02-26,0.00115975331772157,0.00115975331772157,0.00115975331772157,0.00115975331772157,0.000847476149463463
1999-03-31,0.0320988246936826,0.0320988246936826,0.0320988246936826,0.0320988246936826,0.0363182738253605
1999-04-30,0.048811338119121,0.048811338119121,0.048811338119121,0.048811338119121,0.0635296100344743
1999-05-31,-0.000153544265119187,-0.000153544265119187,-0.000153544265119187,-0.000153544265119187,-0.000616183551177553
1999-06-30,0.0344856711659048,0.0344856711659048,0.0344856711659048,0.0344856711659048,0.0416905434793854
1999-07-30,-0.0159745601043055,-0.0159745601043055,-0.0159745601043055,-0.0159745601043055,-0.02287454901976
