"","day","rm","rf","rm_rf","smb_ew","hml_ew","mom_ew","smb_vw","hml_vw","mom_vw"
"1",1983-01-04,0.00153102056438984,0.000297222222222222,0.00123379834216762,0.00239932143101709,0.00175801227867154,-0.00236363259803277,0.00671814194104234,-0.00256534104422263,-0.00363238091263107
"2",1983-01-11,0.0304570236252272,0.000295833333333333,0.0301611902918939,-0.00769194829353177,0.00507651536348341,-0.00673509756050166,0.000191663215094725,0.0148655091997265,-0.00334138732346515
"3",1983-01-12,0.00342924328031609,0.000306944444444444,0.00312229883587165,-0.00107861836635235,0.00512988275966299,-0.0125360792154272,0.00290614884391099,0.00482705448706035,-0.0123193738580594
"4",1983-01-13,0.0186173675302694,0.000302777777777778,0.0183145897524916,-0.00596668171372147,0.00934627272017831,0.00295715848427992,-0.00609243460627016,0.00696241710876977,0.00700721880474012
"5",1983-01-14,0.00696574642126804,0.000297222222222222,0.00666852419904581,0.00213101948462045,0.00233471056513625,-0.0019671814032652,-0.00594396762921542,0.00366074962558145,-0.00477579336429684
"6",1983-01-17,0.0231643079266357,0.000297222222222222,0.0228670857044135,-0.0081025730836495,0.0123986527946401,-0.00551178632587903,-0.00628220615529335,0.0169270116680902,-0.000770453807028188
"7",1983-01-18,-0.00328743332092792,0.000297222222222222,-0.00358465554315014,0.00090217704293699,-0.000439204454762019,0.00242315729174105,-0.00359720674531149,0.0020262007570777,0.00591232668315367
"8",1983-01-19,-0.00382724500591211,0.000294444444444444,-0.00412168945035655,0.00579463121696184,0.00300078647264903,0.000724754031512573,0.0089914194587051,0.00550186203039866,0.00424991252676553
"9",1983-01-20,-0.0106512572231765,0.000294444444444444,-0.0109457016676209,0.00339271100909999,0.00793586244868036,-0.00831612575524602,0.000279236456207746,-0.00194132068894878,-0.00609126730505915
"10",1983-01-21,0.00830334027909316,0.000293055555555556,0.0080102847235376,0.00389046240175737,0.013519556728068,-0.00629104133371873,0.00435782218561404,0.0137189199286492,-0.00766325513504973
"11",1983-01-24,-0.00466543507530444,0.000293055555555556,-0.00495849063086,0.0132469534345353,0.00284944355917346,0.000185640848679911,0.0151595811768674,0.00247368927981776,-0.0032452484536578
"12",1983-01-25,-0.0126777400276834,0.000293055555555556,-0.0129707955832389,0.0065656422467991,-0.00483987555545598,-0.00135578635939484,0.00416650087740174,-0.00721227026388736,0.00112872605667344
"13",1983-01-26,0.00334554723594068,0.000294444444444444,0.00305110279149624,0.000449211749196399,0.00698235822622353,0.00490363394227754,-0.00236620568296996,0.00873644862256419,0.00740495597370589
"14",1983-01-27,0.0200698634487139,0.000294444444444444,0.0197754190042695,-0.00937713736292697,0.0121828460132966,0.00591234853102812,-0.00380391110104859,0.0190766860659546,0.00696687477202262
"15",1983-01-28,0.0199863022227755,0.000297222222222222,0.0196890800005533,0.00622143932641968,0.00205914830180113,0.00758522945521752,0.00976268457585839,0.0047471532945866,0.00601758775291262
"16",1983-01-31,0.01501648150409,0.000294444444444444,0.0147220370596455,0.00635381704143536,0.00730524447344302,0.00636952657773035,0.0125738070880168,0.00971255696639789,0.00842152781270246
"17",1983-02-01,0.0135915323550637,0.000295833333333333,0.0132956990217303,-0.00972169432130893,0.00715727895610327,-0.003476951986696,-0.00827653917824536,0.00710282873766778,-0.00272640753755448
"18",1983-02-02,-0.00703097187611255,0.000293055555555556,-0.00732402743166811,0.0210999061574091,0.000476390291812095,-0.0294136373350833,0.0199200495244962,-3.39689780255526e-05,-0.0306100930275758
"19",1983-02-03,0.00890322966149817,0.000293055555555556,0.00861017410594261,0.00175728284817024,-0.00126557059558689,-0.00255469912992872,0.000531137967967865,-0.00724641344893202,-0.00460803245958782
"20",1983-02-04,0.024993337084308,0.000293055555555556,0.0247002815287525,-0.0080210841097231,-0.000598816491793289,-0.00644755472660008,-0.00753668359435601,0.00325285694601474,-0.00467976030899551
"21",1983-02-07,0.0248461560685293,0.000293055555555556,0.0245531005129737,-0.00569480278163634,-0.00265630073196302,0.00384468595217989,-0.00145501403110305,0.0116869101851158,0.0186190620253452
"22",1983-02-08,0.0143771319031375,0.000291666666666667,0.0140854652364708,-0.00208465544430766,0.00468024584646486,0.00325967089745458,0.00118302008680139,0.0123866549375498,0.00671026801126679
"23",1983-02-09,-0.0175916404969013,0.000291666666666667,-0.017883307163568,0.0102821933772216,-0.0135623144409822,0.00292182143510367,0.0100390667677061,-0.012244991224053,0.0034444933812705
"24",1983-02-10,0.00347949080622357,0.000291666666666667,0.00318782413955691,0.000138746642844217,0.00659511535868827,-0.00469094805704815,0.000640019158838995,0.00605657537686321,-0.00622591089938159
"25",1983-02-11,0.00792151777408161,0.000291666666666667,0.00762985110741495,-0.00143396389335368,0.0123575742234079,-0.0127951032675376,0.00239414899721074,0.0161814860719148,-0.00999896365155093
"26",1983-02-14,0.00444705487497902,0.000291666666666667,0.00415538820831235,0.00167847145559795,0.00302817385054171,0.0050939890006293,0.00225406012655488,0.00491211086900002,0.00836100283402764
"27",1983-02-15,0.0166235068081197,0.000291666666666667,0.016331840141453,-0.00126397435922159,0.0127193627428101,0.000407224125459805,0.00248273432551173,0.0133999793087018,0.00708779874470985
"28",1983-02-16,0.0150095864146808,0.000291666666666667,0.0147179197480141,0.00962196456904268,0.0135381188516362,0.000323605193406989,0.0129665170933764,0.0153598631613844,-0.00240170542079311
"29",1983-02-17,0.0165956068865023,0.000291666666666667,0.0163039402198357,0.00241150383256151,0.0133233439202389,0.00241886290401172,0.00366719675821713,0.0109603055248488,0.000952276737671835
