"month","factor1","factor2","factor3"
1997-02-28,0.0155164726287803,0.00144855341323656,-0.0181610720975551
1997-03-27,0.0205771837688186,0.0241785180194436,0.00815616446350439
1997-04-30,0.0177543193469647,-0.00466748737741714,-0.000601577425243272
1997-05-30,0.0239161992356473,0.0129666004224076,0.0264889606352256
1997-06-30,0.0165656271644378,0.027603290210201,0.0328501175013856
1997-07-31,0.0122537391467568,0.027880349532227,0.025446190285958
1997-08-29,0.0097998783233303,-0.0137535868181626,-0.0137548673025528
1997-09-30,0.022512642073284,0.00696992668605123,0.020664925528821
1997-10-31,0.00307790921399119,-0.0169898190441909,-0.0205928495565125
1997-11-28,0.00491896318235333,0.0169064930848658,0.0379958993567158
1997-12-30,0.00177571348430871,0.0105914619120303,0.0120718179668098
1998-01-30,0.0223747962084463,0.00934241667130983,0.0224615083794219
1998-02-27,0.0212460823162276,0.024704738422283,0.0307661980979845
1998-03-31,0.0165849969837789,-0.00967029165082077,0.0145343590427145
1998-04-30,0.0129960774503056,0.0202125636948575,0.0374359737950148
1998-05-29,0.0294919071642106,0.0178746231514572,0.0206342649180658
1998-06-30,0.0211061137701799,0.022680224867057,0.0189468515567677
1998-07-31,0.0218255982985869,0.00012154001634563,0.0295584408380058
1998-08-31,-0.00127965900235579,-0.00717790584963411,0.0258038724482897
1998-09-30,0.0172945723231021,-0.0238076589352159,0.00823301912449755
1998-10-30,0.0388019150887374,0.0501880116745649,0.0443708987756133
1998-11-30,0.0523527640222316,0.0697519368340707,0.0284191532402457
1998-12-30,0.0183363100984043,0.0369222717447371,0.0107663424313304
1999-01-29,-0.0170279167060024,-0.00168432947803891,0.0167167186108958
1999-02-26,0.00760188456190923,0.00186710226514995,0.00740734144125207
1999-03-31,0.0167231006105306,0.019901477808008,0.0133915560577178
1999-04-30,0.00192345428372991,0.00200785281395599,0.0252800723043773
1999-05-31,0.0102698762663834,0.0210741984695119,-0.00118993186126189
1999-06-30,0.0185674144033365,0.0360014488633694,0.0379205985795431
1999-07-30,0.000649005159322355,-0.00867028501501397,0.0032057993377403
1999-08-31,0.0355633359857829,0.00601725930801207,0.0174455647840514
1999-09-30,0.0187544367650326,0.000347402093006233,-0.00160673160140425
1999-10-29,0.0190685797238884,0.0430133641816099,0.0546751599516324
1999-11-30,0.0501756773641223,0.0295703324469843,0.0278389627442282
1999-12-30,0.0261591196309397,0.0562456530337374,0.0630180267996871
2000-01-31,0.0263260716198651,0.0196315108396292,-0.00151208701267865
2000-02-29,0.0867559672279419,0.101591812372323,0.0452066612401953
2000-03-31,0.049147345820902,0.00991673483316518,0.00143540041125442
2000-04-28,0.0144842907265216,0.0302707162547067,0.0287071438458675
2000-05-31,0.0363001504783782,0.0619825396065174,0.0215746564936014
2000-06-30,0.0524045092549797,0.0831293025865379,0.030961924634877
2000-07-31,0.0341551564805201,0.0478079988187387,0.0093683167192039
2000-08-31,0.0447363616226926,0.0674629192894131,0.00256763551148507
2000-09-29,0.0245268652297379,0.0287486355636383,0.0158629758600374
2000-10-31,0.0424466633686313,0.068198200911813,0.0599990192098811
2000-11-30,0.0519704081497291,0.0423361545756969,0.0132068740151184
2000-12-29,0.021424815979295,0.0394458717785155,0.0320221367349263
2001-01-31,-0.00592253934487997,0.000792353326083183,0.0371934942580382
2001-02-28,0.0212424801399631,0.0378727325251925,0.050897021083057
2001-03-30,0.0140876722401875,0.0246887497308605,0.0253746734265813
2001-04-30,0.0490566696384393,0.0916074033810342,0.0807451332130194
2001-05-31,0.018591242751061,0.0487250235848029,0.0473050758769815
2001-06-29,0.039525757739911,0.0643463283801992,0.0752868439179954
2001-07-31,0.013952472532989,0.0170996215119287,0.0169649418038588
2001-08-31,0.0355466510685078,0.0498964265437261,0.0596770194484454
2001-09-28,0.0540431254238217,0.0537692607803366,0.0404882481150363
2001-10-31,0.0360087898446234,0.0203504181092359,0.0137731113392436
2001-11-30,0.0575516712849395,0.0720994076393465,0.0332445926970118
2001-12-28,0.045609094495158,0.0685951120166118,0.0318025652312161
2002-01-31,0.00912836315992507,0.0176282739161778,0.0143525875220593
2002-02-28,0.0143856644153019,0.0149312240151864,0.0299881500415323
2002-03-28,0.0359691430820518,0.0617465138219164,0.0350541906080825
2002-04-30,0.0281309955785285,0.0364254493699055,0.0439354219576418
2002-05-31,0.0521624749027967,0.0632098572587161,0.0227110594867166
2002-06-28,0.00700226248031091,-0.00828420899650869,-0.0140010564041116
2002-07-31,0.00747941798640456,0.0212320136066211,0.0200222942755486
2002-08-30,0.0799642091093142,0.107858098113586,0.0416601482966355
2002-09-30,0.0481790785107778,0.0259530373253178,0.0470462033755381
2002-10-31,0.0572862922629266,0.0919131196871091,0.0330647609563149
2002-11-29,0.0387294332323385,0.0726714956421082,0.0388212430057319
2002-12-30,0.0213072941843798,0.00682335684602944,-0.00738752259737303
2003-01-31,0.0141943953759171,0.0330096514871432,0.0255963671609035
2003-02-28,0.014240692028334,-0.000973842139621986,0.0211568380994135
2003-03-31,0.0192462446886653,0.0194999298394507,0.0332159949463671
2003-04-30,0.0504750299211737,0.0775211624420985,0.0415520188200771
2003-05-30,0.000327275438242382,-0.0445224116967492,-0.00331452497445965
2003-06-30,0.0198509606590172,-0.00784172409003365,0.0151319691083454
2003-07-31,0.0371285965120597,0.047864364306021,0.0244187882246894
2003-08-29,-0.0169453934667503,-0.0052301902500162,0.0127630805956202
2003-09-30,0.00400874459834614,-0.0353645233213474,-0.0265607108914612
2003-10-31,0.0219025397202464,0.0452902712232916,0.0235807944723316
