date,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20
1997-12-31,0.0118718942356526,0.00990730404679953,0.00990730404679953,0.00990730404679953,0.00990730404679953,0.00990730404679953,0.00990730404679953,0.00990730404679953,0.00990730404679953,0.00990730404679953,0.00990730404679953,0.00990730404679953,0.00990730404679953,0.00990730404679953,0.00990730404679953,0.00990730404679953,0.00990730404679953,0.00990730404679953,0.00990730404679953,0.00990730404679953
1998-01-31,0.0495101057737083,0.039995797621918,0.039995797621918,0.039995797621918,0.039995797621918,0.039995797621918,0.039995797621918,0.039995797621918,0.039995797621918,0.039995797621918,0.039995797621918,0.039995797621918,0.039995797621918,0.039995797621918,0.039995797621918,0.039995797621918,0.039995797621918,0.039995797621918,0.039995797621918,0.039995797621918
1998-02-28,0.0756129692195216,0.0694874141059096,0.0694874141059096,0.0694874141059096,0.0694874141059096,0.0694874141059096,0.0694874141059096,0.0694874141059096,0.0694874141059096,0.0694874141059096,0.0694874141059096,0.0694874141059096,0.0694874141059096,0.0694874141059096,0.0694874141059096,0.0694874141059096,0.0694874141059096,0.0694874141059096,0.0694874141059096,0.0694874141059096
1998-03-31,0.018306679140801,0.0184800324649969,0.0184800324649969,0.0184800324649969,0.0184800324649969,0.0184800324649969,0.0184800324649969,0.0184800324649969,0.0184800324649969,0.0184800324649969,0.0184800324649969,0.0184800324649969,0.0184800324649969,0.0184800324649969,0.0184800324649969,0.0184800324649969,0.0184800324649969,0.0184800324649969,0.0184800324649969,0.0184800324649969
1998-04-30,0.0490536174814431,0.0479886434366429,0.0479886434366429,0.0479886434366429,0.0479886434366429,0.0479886434366429,0.0479886434366429,0.0479886434366429,0.0479886434366429,0.0479886434366429,0.0479886434366429,0.0479886434366429,0.0479886434366429,0.0479886434366429,0.0479886434366429,0.0479886434366429,0.0479886434366429,0.0479886434366429,0.0479886434366429,0.0479886434366429
1998-07-31,-0.022024387501355,-0.0216444239748118,-0.0216444239748118,-0.0216444239748118,-0.0216444239748118,-0.0216444239748118,-0.0216444239748118,-0.0216444239748118,-0.0216444239748118,-0.0216444239748118,-0.0216444239748118,-0.0216444239748118,-0.0216444239748118,-0.0216444239748118,-0.0216444239748118,-0.0216444239748118,-0.0216444239748118,-0.0216444239748118,-0.0216444239748118,-0.0216444239748118
1998-08-31,-0.00369572005972042,-0.0143917184253445,-0.0143917184253445,-0.0143917184253445,-0.0143917184253445,-0.0143917184253445,-0.0143917184253445,-0.0143917184253445,-0.0143917184253445,-0.0143917184253445,-0.0143917184253445,-0.0143917184253445,-0.0143917184253445,-0.0143917184253445,-0.0143917184253445,-0.0143917184253445,-0.0143917184253445,-0.0143917184253445,-0.0143917184253445,-0.0143917184253445
1998-11-30,-0.137198875564139,-0.143240746309948,-0.143240746309948,-0.143240746309948,-0.143240746309948,-0.143240746309948,-0.143240746309948,-0.143240746309948,-0.143240746309948,-0.143240746309948,-0.143240746309948,-0.143240746309948,-0.143240746309948,-0.143240746309948,-0.143240746309948,-0.143240746309948,-0.143240746309948,-0.143240746309948,-0.143240746309948,-0.143240746309948
1998-12-31,-0.0829101947324841,-0.0870646891147789,-0.0870646891147789,-0.0870646891147789,-0.0870646891147789,-0.0870646891147789,-0.0870646891147789,-0.0870646891147789,-0.0870646891147789,-0.0870646891147789,-0.0870646891147789,-0.0870646891147789,-0.0870646891147789,-0.0870646891147789,-0.0870646891147789,-0.0870646891147789,-0.0870646891147789,-0.0870646891147789,-0.0870646891147789,-0.0870646891147789
1999-01-31,-0.00276809189279501,-0.0155397646013362,-0.0155397646013362,-0.0155397646013362,-0.0155397646013362,-0.0155397646013362,-0.0155397646013362,-0.0155397646013362,-0.0155397646013362,-0.0155397646013362,-0.0155397646013362,-0.0155397646013362,-0.0155397646013362,-0.0155397646013362,-0.0155397646013362,-0.0155397646013362,-0.0155397646013362,-0.0155397646013362,-0.0155397646013362,-0.0155397646013362
1999-02-28,0.0824029247827275,0.0981765820542694,0.0981765820542694,0.0981765820542694,0.0981765820542694,0.0981765820542694,0.0981765820542694,0.0981765820542694,0.0981765820542694,0.0981765820542694,0.0981765820542694,0.0981765820542694,0.0981765820542694,0.0981765820542694,0.0981765820542694,0.0981765820542694,0.0981765820542694,0.0981765820542694,0.0981765820542694,0.0981765820542694
1999-09-30,-0.014935991688583,-0.00638777143680395,-0.00638777143680395,-0.00638777143680395,-0.00638777143680395,-0.00638777143680395,-0.00638777143680395,-0.00638777143680395,-0.00638777143680395,-0.00638777143680395,-0.00638777143680395,-0.00638777143680395,-0.00638777143680395,-0.00638777143680395,-0.00638777143680395,-0.00638777143680395,-0.00638777143680395,-0.00638777143680395,-0.00638777143680395,-0.00638777143680395
1999-10-31,0.0267041586953221,-0.0022246901009484,-0.0022246901009484,-0.0022246901009484,-0.0022246901009484,-0.0022246901009484,-0.0022246901009484,-0.0022246901009484,-0.0022246901009484,-0.0022246901009484,-0.0022246901009484,-0.0022246901009484,-0.0022246901009484,-0.0022246901009484,-0.0022246901009484,-0.0022246901009484,-0.0022246901009484,-0.0022246901009484,-0.0022246901009484,-0.0022246901009484
1999-11-30,0.0240767853284339,0.0160493738461241,0.0160493738461241,0.0160493738461241,0.0160493738461241,0.0160493738461241,0.0160493738461241,0.0160493738461241,0.0160493738461241,0.0160493738461241,0.0160493738461241,0.0160493738461241,0.0160493738461241,0.0160493738461241,0.0160493738461241,0.0160493738461241,0.0160493738461241,0.0160493738461241,0.0160493738461241,0.0160493738461241
1999-12-31,0.0238224041177743,0.00902079555331667,0.00902079555331667,0.00902079555331667,0.00902079555331667,0.00902079555331667,0.00902079555331667,0.00902079555331667,0.00902079555331667,0.00902079555331667,0.00902079555331667,0.00902079555331667,0.00902079555331667,0.00902079555331667,0.00902079555331667,0.00902079555331667,0.00902079555331667,0.00902079555331667,0.00902079555331667,0.00902079555331667
2000-01-31,0.0761119198695999,0.0625105340895655,0.0625105340895655,0.0625105340895655,0.0625105340895655,0.0625105340895655,0.0625105340895655,0.0625105340895655,0.0625105340895655,0.0625105340895655,0.0625105340895655,0.0625105340895655,0.0625105340895655,0.0625105340895655,0.0625105340895655,0.0625105340895655,0.0625105340895655,0.0625105340895655,0.0625105340895655,0.0625105340895655
2000-02-29,0.011001145139469,0.0303093233599815,0.0303093233599815,0.0303093233599815,0.0303093233599815,0.0303093233599815,0.0303093233599815,0.0303093233599815,0.0303093233599815,0.0303093233599815,0.0303093233599815,0.0303093233599815,0.0303093233599815,0.0303093233599815,0.0303093233599815,0.0303093233599815,0.0303093233599815,0.0303093233599815,0.0303093233599815,0.0303093233599815
2000-03-31,0.0233737704070719,0.00416869437164361,0.00416869437164361,0.00416869437164361,0.00416869437164361,0.00416869437164361,0.00416869437164361,0.00416869437164361,0.00416869437164361,0.00416869437164361,0.00416869437164361,0.00416869437164361,0.00416869437164361,0.00416869437164361,0.00416869437164361,0.00416869437164361,0.00416869437164361,0.00416869437164361,0.00416869437164361,0.00416869437164361
2000-04-30,-0.00486865470086651,-0.0192302558258035,-0.0192302558258035,-0.0192302558258035,-0.0192302558258035,-0.0192302558258035,-0.0192302558258035,-0.0192302558258035,-0.0192302558258035,-0.0192302558258035,-0.0192302558258035,-0.0192302558258035,-0.0192302558258035,-0.0192302558258035,-0.0192302558258035,-0.0192302558258035,-0.0192302558258035,-0.0192302558258035,-0.0192302558258035,-0.0192302558258035
2000-05-31,0.0391415236113061,0.0429420807228679,0.0429420807228679,0.0429420807228679,0.0429420807228679,0.0429420807228679,0.0429420807228679,0.0429420807228679,0.0429420807228679,0.0429420807228679,0.0429420807228679,0.0429420807228679,0.0429420807228679,0.0429420807228679,0.0429420807228679,0.0429420807228679,0.0429420807228679,0.0429420807228679,0.0429420807228679,0.0429420807228679
2000-06-30,0.0053206180765899,0.0176453517374413,0.0176453517374413,0.0176453517374413,0.0176453517374413,0.0176453517374413,0.0176453517374413,0.0176453517374413,0.0176453517374413,0.0176453517374413,0.0176453517374413,0.0176453517374413,0.0176453517374413,0.0176453517374413,0.0176453517374413,0.0176453517374413,0.0176453517374413,0.0176453517374413,0.0176453517374413,0.0176453517374413
2000-09-30,-0.00370036826137177,-0.00407177803489533,-0.00407177803489533,-0.00407177803489533,-0.00407177803489533,-0.00407177803489533,-0.00407177803489533,-0.00407177803489533,-0.00407177803489533,-0.00407177803489533,-0.00407177803489533,-0.00407177803489533,-0.00407177803489533,-0.00407177803489533,-0.00407177803489533,-0.00407177803489533,-0.00407177803489533,-0.00407177803489533,-0.00407177803489533,-0.00407177803489533
2000-10-31,0.0838256009554492,0.115035595904212,0.115035595904212,0.115035595904212,0.115035595904212,0.115035595904212,0.115035595904212,0.115035595904212,0.115035595904212,0.115035595904212,0.115035595904212,0.115035595904212,0.115035595904212,0.115035595904212,0.115035595904212,0.115035595904212,0.115035595904212,0.115035595904212,0.115035595904212,0.115035595904212
2000-11-30,0.132794565966278,0.156463925057703,0.156463925057703,0.156463925057703,0.156463925057703,0.156463925057703,0.156463925057703,0.156463925057703,0.156463925057703,0.156463925057703,0.156463925057703,0.156463925057703,0.156463925057703,0.156463925057703,0.156463925057703,0.156463925057703,0.156463925057703,0.156463925057703,0.156463925057703,0.156463925057703
2000-12-31,0.00240512172787498,0.0451922987817208,0.0451922987817208,0.0451922987817208,0.0451922987817208,0.0451922987817208,0.0451922987817208,0.0451922987817208,0.0451922987817208,0.0451922987817208,0.0451922987817208,0.0451922987817208,0.0451922987817208,0.0451922987817208,0.0451922987817208,0.0451922987817208,0.0451922987817208,0.0451922987817208,0.0451922987817208,0.0451922987817208
2001-04-30,0.0780067061461503,0.106156781577534,0.106156781577534,0.106156781577534,0.106156781577534,0.106156781577534,0.106156781577534,0.106156781577534,0.106156781577534,0.106156781577534,0.106156781577534,0.106156781577534,0.106156781577534,0.106156781577534,0.106156781577534,0.106156781577534,0.106156781577534,0.106156781577534,0.106156781577534,0.106156781577534
2001-05-31,-0.0110824006330268,-0.00865698694895359,-0.00865698694895359,-0.00865698694895359,-0.00865698694895359,-0.00865698694895359,-0.00865698694895359,-0.00865698694895359,-0.00865698694895359,-0.00865698694895359,-0.00865698694895359,-0.00865698694895359,-0.00865698694895359,-0.00865698694895359,-0.00865698694895359,-0.00865698694895359,-0.00865698694895359,-0.00865698694895359,-0.00865698694895359,-0.00865698694895359
2001-10-31,-0.0342791864200358,-0.0316007953606321,-0.0316007953606321,-0.0316007953606321,-0.0316007953606321,-0.0316007953606321,-0.0316007953606321,-0.0316007953606321,-0.0316007953606321,-0.0316007953606321,-0.0316007953606321,-0.0316007953606321,-0.0316007953606321,-0.0316007953606321,-0.0316007953606321,-0.0316007953606321,-0.0316007953606321,-0.0316007953606321,-0.0316007953606321,-0.0316007953606321
2001-11-30,-0.0160178150101574,-0.0249800244393706,-0.0249800244393706,-0.0249800244393706,-0.0249800244393706,-0.0249800244393706,-0.0249800244393706,-0.0249800244393706,-0.0249800244393706,-0.0249800244393706,-0.0249800244393706,-0.0249800244393706,-0.0249800244393706,-0.0249800244393706,-0.0249800244393706,-0.0249800244393706,-0.0249800244393706,-0.0249800244393706,-0.0249800244393706,-0.0249800244393706
2001-12-31,-0.0661683480841735,-0.0546358550938609,-0.0546358550938609,-0.0546358550938609,-0.0546358550938609,-0.0546358550938609,-0.0546358550938609,-0.0546358550938609,-0.0546358550938609,-0.0546358550938609,-0.0546358550938609,-0.0546358550938609,-0.0546358550938609,-0.0546358550938609,-0.0546358550938609,-0.0546358550938609,-0.0546358550938609,-0.0546358550938609,-0.0546358550938609,-0.0546358550938609
2002-09-30,0.0126608034529196,0.0108442511165804,0.0108442511165804,0.0108442511165804,0.0108442511165804,0.0108442511165804,0.0108442511165804,0.0108442511165804,0.0108442511165804,0.0108442511165804,0.0108442511165804,0.0108442511165804,0.0108442511165804,0.0108442511165804,0.0108442511165804,0.0108442511165804,0.0108442511165804,0.0108442511165804,0.0108442511165804,0.0108442511165804
1998-05-31,0.027789373582022,0.036704216441316,0.036704216441316,0.036704216441316,0.036704216441316,0.036704216441316,0.036704216441316,0.036704216441316,0.036704216441316,0.036704216441316,0.036704216441316,0.036704216441316,0.036704216441316,0.036704216441316,0.036704216441316,0.036704216441316,0.036704216441316,0.036704216441316,0.036704216441316,0.036704216441316
1998-06-30,-0.0151555750291619,-0.011873252914598,-0.011873252914598,-0.011873252914598,-0.011873252914598,-0.011873252914598,-0.011873252914598,-0.011873252914598,-0.011873252914598,-0.011873252914598,-0.011873252914598,-0.011873252914598,-0.011873252914598,-0.011873252914598,-0.011873252914598,-0.011873252914598,-0.011873252914598,-0.011873252914598,-0.011873252914598,-0.011873252914598
1998-09-30,-0.0255647986741543,-0.0552943301670606,-0.0552943301670606,-0.0552943301670606,-0.0552943301670606,-0.0552943301670606,-0.0552943301670606,-0.0552943301670606,-0.0552943301670606,-0.0552943301670606,-0.0552943301670606,-0.0552943301670606,-0.0552943301670606,-0.0552943301670606,-0.0552943301670606,-0.0552943301670606,-0.0552943301670606,-0.0552943301670606,-0.0552943301670606,-0.0552943301670606
1998-10-31,-0.0443988907299007,-0.0555153890018338,-0.0555153890018338,-0.0555153890018338,-0.0555153890018338,-0.0555153890018338,-0.0555153890018338,-0.0555153890018338,-0.0555153890018338,-0.0555153890018338,-0.0555153890018338,-0.0555153890018338,-0.0555153890018338,-0.0555153890018338,-0.0555153890018338,-0.0555153890018338,-0.0555153890018338,-0.0555153890018338,-0.0555153890018338,-0.0555153890018338
1999-03-31,0.0145937650273064,-0.0207113218817466,-0.0207113218817466,-0.0207113218817466,-0.0207113218817466,-0.0207113218817466,-0.0207113218817466,-0.0207113218817466,-0.0207113218817466,-0.0207113218817466,-0.0207113218817466,-0.0207113218817466,-0.0207113218817466,-0.0207113218817466,-0.0207113218817466,-0.0207113218817466,-0.0207113218817466,-0.0207113218817466,-0.0207113218817466,-0.0207113218817466
1999-04-30,0.0694308188004548,0.0818865761400883,0.0818865761400883,0.0818865761400883,0.0818865761400883,0.0818865761400883,0.0818865761400883,0.0818865761400883,0.0818865761400883,0.0818865761400883,0.0818865761400883,0.0818865761400883,0.0818865761400883,0.0818865761400883,0.0818865761400883,0.0818865761400883,0.0818865761400883,0.0818865761400883,0.0818865761400883,0.0818865761400883
1999-05-31,-0.0315991191446774,-0.076678461994907,-0.076678461994907,-0.076678461994907,-0.076678461994907,-0.076678461994907,-0.076678461994907,-0.076678461994907,-0.076678461994907,-0.076678461994907,-0.076678461994907,-0.076678461994907,-0.076678461994907,-0.076678461994907,-0.076678461994907,-0.076678461994907,-0.076678461994907,-0.076678461994907,-0.076678461994907,-0.076678461994907
1999-06-30,-0.0669722046745712,-0.0642475220927177,-0.0642475220927177,-0.0642475220927177,-0.0642475220927177,-0.0642475220927177,-0.0642475220927177,-0.0642475220927177,-0.0642475220927177,-0.0642475220927177,-0.0642475220927177,-0.0642475220927177,-0.0642475220927177,-0.0642475220927177,-0.0642475220927177,-0.0642475220927177,-0.0642475220927177,-0.0642475220927177,-0.0642475220927177,-0.0642475220927177
1999-07-31,0.0985568477682883,0.0581064470959007,0.0581064470959007,0.0581064470959007,0.0581064470959007,0.0581064470959007,0.0581064470959007,0.0581064470959007,0.0581064470959007,0.0581064470959007,0.0581064470959007,0.0581064470959007,0.0581064470959007,0.0581064470959007,0.0581064470959007,0.0581064470959007,0.0581064470959007,0.0581064470959007,0.0581064470959007,0.0581064470959007
1999-08-31,0.0319045669121583,0.0361236255186784,0.0361236255186784,0.0361236255186784,0.0361236255186784,0.0361236255186784,0.0361236255186784,0.0361236255186784,0.0361236255186784,0.0361236255186784,0.0361236255186784,0.0361236255186784,0.0361236255186784,0.0361236255186784,0.0361236255186784,0.0361236255186784,0.0361236255186784,0.0361236255186784,0.0361236255186784,0.0361236255186784
2000-07-31,-0.0550354880835957,-0.0759502209776729,-0.0759502209776729,-0.0759502209776729,-0.0759502209776729,-0.0759502209776729,-0.0759502209776729,-0.0759502209776729,-0.0759502209776729,-0.0759502209776729,-0.0759502209776729,-0.0759502209776729,-0.0759502209776729,-0.0759502209776729,-0.0759502209776729,-0.0759502209776729,-0.0759502209776729,-0.0759502209776729,-0.0759502209776729,-0.0759502209776729
2000-08-31,-0.0346330774642987,-0.0615577017344422,-0.0615577017344422,-0.0615577017344422,-0.0615577017344422,-0.0615577017344422,-0.0615577017344422,-0.0615577017344422,-0.0615577017344422,-0.0615577017344422,-0.0615577017344422,-0.0615577017344422,-0.0615577017344422,-0.0615577017344422,-0.0615577017344422,-0.0615577017344422,-0.0615577017344422,-0.0615577017344422,-0.0615577017344422,-0.0615577017344422
2001-01-31,-0.0548293180465469,-0.0655190389642378,-0.0655190389642378,-0.0655190389642378,-0.0655190389642378,-0.0655190389642378,-0.0655190389642378,-0.0655190389642378,-0.0655190389642378,-0.0655190389642378,-0.0655190389642378,-0.0655190389642378,-0.0655190389642378,-0.0655190389642378,-0.0655190389642378,-0.0655190389642378,-0.0655190389642378,-0.0655190389642378,-0.0655190389642378,-0.0655190389642378
2001-02-28,-0.114086058484587,-0.127347708590672,-0.127347708590672,-0.127347708590672,-0.127347708590672,-0.127347708590672,-0.127347708590672,-0.127347708590672,-0.127347708590672,-0.127347708590672,-0.127347708590672,-0.127347708590672,-0.127347708590672,-0.127347708590672,-0.127347708590672,-0.127347708590672,-0.127347708590672,-0.127347708590672,-0.127347708590672,-0.127347708590672
2001-03-31,0.0876379381287909,0.092068682679414,0.092068682679414,0.092068682679414,0.092068682679414,0.092068682679414,0.092068682679414,0.092068682679414,0.092068682679414,0.092068682679414,0.092068682679414,0.092068682679414,0.092068682679414,0.092068682679414,0.092068682679414,0.092068682679414,0.092068682679414,0.092068682679414,0.092068682679414,0.092068682679414
2001-06-30,0.11462289445209,0.147196644841156,0.147196644841156,0.147196644841156,0.147196644841156,0.147196644841156,0.147196644841156,0.147196644841156,0.147196644841156,0.147196644841156,0.147196644841156,0.147196644841156,0.147196644841156,0.147196644841156,0.147196644841156,0.147196644841156,0.147196644841156,0.147196644841156,0.147196644841156,0.147196644841156
2001-07-31,0.0114940000201437,0.00647142960287154,0.00647142960287154,0.00647142960287154,0.00647142960287154,0.00647142960287154,0.00647142960287154,0.00647142960287154,0.00647142960287154,0.00647142960287154,0.00647142960287154,0.00647142960287154,0.00647142960287154,0.00647142960287154,0.00647142960287154,0.00647142960287154,0.00647142960287154,0.00647142960287154,0.00647142960287154,0.00647142960287154
2001-08-31,0.0116698506825045,0.00281536895718133,0.00281536895718133,0.00281536895718133,0.00281536895718133,0.00281536895718133,0.00281536895718133,0.00281536895718133,0.00281536895718133,0.00281536895718133,0.00281536895718133,0.00281536895718133,0.00281536895718133,0.00281536895718133,0.00281536895718133,0.00281536895718133,0.00281536895718133,0.00281536895718133,0.00281536895718133,0.00281536895718133
2001-09-30,0.0213544475692293,0.00535022172776215,0.00535022172776215,0.00535022172776215,0.00535022172776215,0.00535022172776215,0.00535022172776215,0.00535022172776215,0.00535022172776215,0.00535022172776215,0.00535022172776215,0.00535022172776215,0.00535022172776215,0.00535022172776215,0.00535022172776215,0.00535022172776215,0.00535022172776215,0.00535022172776215,0.00535022172776215,0.00535022172776215
2002-01-31,0.036564444082496,0.0404927425015065,0.0404927425015065,0.0404927425015065,0.0404927425015065,0.0404927425015065,0.0404927425015065,0.0404927425015065,0.0404927425015065,0.0404927425015065,0.0404927425015065,0.0404927425015065,0.0404927425015065,0.0404927425015065,0.0404927425015065,0.0404927425015065,0.0404927425015065,0.0404927425015065,0.0404927425015065,0.0404927425015065
2002-02-28,-0.0272231531524655,-0.0618051722562685,-0.0618051722562685,-0.0618051722562685,-0.0618051722562685,-0.0618051722562685,-0.0618051722562685,-0.0618051722562685,-0.0618051722562685,-0.0618051722562685,-0.0618051722562685,-0.0618051722562685,-0.0618051722562685,-0.0618051722562685,-0.0618051722562685,-0.0618051722562685,-0.0618051722562685,-0.0618051722562685,-0.0618051722562685,-0.0618051722562685
2002-03-31,-0.0272850851119724,-0.0399540088080428,-0.0399540088080428,-0.0399540088080428,-0.0399540088080428,-0.0399540088080428,-0.0399540088080428,-0.0399540088080428,-0.0399540088080428,-0.0399540088080428,-0.0399540088080428,-0.0399540088080428,-0.0399540088080428,-0.0399540088080428,-0.0399540088080428,-0.0399540088080428,-0.0399540088080428,-0.0399540088080428,-0.0399540088080428,-0.0399540088080428
2002-04-30,-0.0631268222643453,-0.0732818189535418,-0.0732818189535418,-0.0732818189535418,-0.0732818189535418,-0.0732818189535418,-0.0732818189535418,-0.0732818189535418,-0.0732818189535418,-0.0732818189535418,-0.0732818189535418,-0.0732818189535418,-0.0732818189535418,-0.0732818189535418,-0.0732818189535418,-0.0732818189535418,-0.0732818189535418,-0.0732818189535418,-0.0732818189535418,-0.0732818189535418
2002-05-31,-0.074703316407288,-0.075716489034835,-0.075716489034835,-0.075716489034835,-0.075716489034835,-0.075716489034835,-0.075716489034835,-0.075716489034835,-0.075716489034835,-0.075716489034835,-0.075716489034835,-0.075716489034835,-0.075716489034835,-0.075716489034835,-0.075716489034835,-0.075716489034835,-0.075716489034835,-0.075716489034835,-0.075716489034835,-0.075716489034835
