scenario,dataset,n_obs,n_months,n_stocks,mean_monthly,sd_monthly,sharpe_annual,num_leaves,train_duration_sec
a,train,59314,258,675,0.0103301732942588,0.052143645461492,0.686272884770243,,0.469892501831055
a,train,59314,258,675,0.0103301732942588,0.052143645461492,0.686272884770243,,
