date,factor_return
2013-06-30,0.0203403930373634
2013-07-31,0.0136901198683489
2013-08-31,-0.0121747562591794
2013-09-30,-0.00243697683586864
2013-10-31,0.00905432237090892
2013-11-30,0.0409784269888697
2013-12-31,-0.0109831435770309
2014-01-31,0.0492357633913631
2014-02-28,-0.00752290476371137
2014-03-31,0.0348672068876727
2014-04-30,0.0499736462374581
2014-05-31,-0.0372444623042663
2014-06-30,0.00613443605369714
2014-07-31,0.00627300573000184
2014-08-31,0.0316915957887633
2014-09-30,-0.00756687886567467
2014-10-31,0.00409822920367202
2014-11-30,0.0113423070564698
2014-12-31,-0.065730508456292
2015-01-31,0.00616143256489254
2015-02-28,0.0821511383837217
2015-03-31,0.022768657443504
2010-01-31,0.0143102888411332
2010-02-28,0.0448577198484862
2010-03-31,0.0461675426423039
2010-04-30,0.00223948493519317
2010-05-31,0.00432521805186683
2010-06-30,-0.0165958819532768
2010-07-31,0.0370076670642055
2010-08-31,0.0215536707700835
2010-09-30,-0.000228966005581088
2010-10-31,0.00902127634460276
2010-11-30,0.00552473781437888
2010-12-31,0.0165389700266704
2011-01-31,-0.0286270864070586
2011-02-28,-0.0021990954921556
2011-03-31,0.0074038050443292
2011-04-30,-0.000947156747051725
2011-05-31,-0.0102675122266932
2011-06-30,0.0119722217773365
2011-07-31,-0.00320441097755269
2011-08-31,0.0264431249118707
2011-09-30,-0.0177771582970432
2011-10-31,-0.0086975591720447
2011-11-30,-0.0178822344675598
2011-12-31,0.0215102682825467
2012-01-31,-0.00408144654938543
2012-02-29,-0.0254004183547842
2012-03-31,0.00485554625196086
2012-04-30,0.0434351793892869
2012-05-31,0.0321750630120337
2012-06-30,0.0229068623244122
2012-07-31,-0.00870000970037294
2012-08-31,-0.00368802388139876
2012-09-30,0.0138846723448573
2012-10-31,0.0030547546337484
2012-11-30,0.0192618835494208
2012-12-31,0.00660841954581087
2013-01-31,0.0185675248560144
2013-02-28,0.0118120438343608
2013-03-31,0.0274743513712844
2013-04-30,-0.00167673171721374
2013-05-31,-0.00827120356554265
2015-04-30,0.00480519642419155
2015-05-31,-0.00966030020503243
2015-06-30,0.0250403365883418
2015-07-31,-0.0143594022164094
2015-08-31,-0.00558789345086265
2015-09-30,0.0368548162611274
2015-10-31,0.00828431348916757
2015-11-30,-0.023537824729991
2015-12-31,-0.0220051447433331
2016-01-31,0.0290769194136635
2016-02-29,0.00861957825994437
2016-03-31,0.0220445201417331
2016-04-30,0.0122477013535547
2016-05-31,-0.00443238620746279
2016-06-30,0.01609046490352
2016-07-31,-0.00354491449390888
2016-08-31,0.0190895577701218
2016-09-30,-0.00396944836794493
2016-10-31,-0.00743100472412501
2016-11-30,0.0344725744977671
2016-12-31,-0.00988620251989299
2017-01-31,0.0232997640158713
2017-02-28,0.0319719079790776
2017-03-31,0.0347222162433289
2017-04-30,0.00372837360190566
2017-05-31,0.000629849670982275
2017-06-30,0.000779426939700862
2017-07-31,0.0142487820538908
2017-08-31,0.0359824124148583
2017-09-30,0.0115856214045262
2017-10-31,0.00152894073432438
2017-11-30,0.010752800164562
2017-12-31,-0.00997410017360925
2018-01-31,0.00295185980105927
2018-02-28,0.000780312535052992
2018-03-31,-0.00682031022473354
2018-04-30,0.0201386213714073
2018-05-31,-0.0157762546782713
2018-06-30,0.0142070287184848
2018-07-31,0.0128970140494296
2018-08-31,-0.012375827688868
2018-09-30,-0.0199684054043945
2018-10-31,0.0097549773801694
2018-11-30,0.0124868837782615
2018-12-31,0.0364757334394665
2019-01-31,0.0111174309560521
2019-02-28,0.0273989293489679
2019-03-31,0.0515564678440139
2019-04-30,-0.0152779205512245
2019-05-31,0.0276475350922476
2019-06-30,-0.00229142274815004
2019-07-31,0.00362020316247487
2019-08-31,-0.00949039986800331
2019-09-30,0.0198583035928727
2019-10-31,-0.00234433947536756
2019-11-30,0.0178605265386121
