date,factor
1997-12-31,1.14783129913458
1998-01-31,4.56231639348332
1998-02-28,7.09389145601798
1998-03-31,1.93597282610643
1998-04-30,4.67622017579005
1998-07-31,-2.19670280567303
1998-08-31,-0.93766316861181
1998-11-30,-13.9748775663578
1998-12-31,-8.61060421648799
1999-01-31,-1.18936797073141
1999-02-28,9.328719150114
1999-09-30,-1.34968788167453
1999-10-31,0.578098245480352
1999-11-30,1.53427784021048
1999-12-31,1.5158927233175
2000-01-31,6.46747446509697
2000-02-29,2.20164946760313
2000-03-31,1.1902329093711
2000-04-30,-1.27372192948457
2000-05-31,4.16133742114059
2000-06-30,1.44354082951017
2000-09-30,-0.362223646760781
2000-10-31,10.523113820813
2000-11-30,14.608710419179
2000-12-31,3.02519779158368
2001-04-30,9.52838534372123
2001-05-31,-0.511006397964415
2001-10-31,-3.96133184449329
2001-11-30,-2.9097692400489
2001-12-31,-5.82734940412246
2002-09-30,0.660136662228929
1998-05-31,2.85547789222682
1998-06-30,-1.1049223774378
1998-09-30,-4.23504891158764
1998-10-31,-4.7468489322786
1999-03-31,-1.3385434451673
1999-04-30,8.56391905619948
1999-05-31,-6.1752816625251
1999-06-30,-6.36265966144198
1999-07-31,7.24072893967252
1999-08-31,2.97297190749942
2000-07-31,-7.00561331221019
2000-08-31,-5.4449062621934
2001-01-31,-6.1604555354918
2001-02-28,-11.8336648458188
2001-03-31,8.85778358972295
2001-06-30,13.4736750098491
2001-07-31,0.542316175350325
2001-08-31,0.554502195403007
2001-09-30,0.701310360291025
2002-01-31,3.90923959235427
2002-02-28,-5.51074174777224
2002-03-31,-3.87727879950702
2002-04-30,-6.93412152597519
2002-05-31,-7.57941153820625
2002-06-30,-5.82618693207893
2002-07-31,-15.4629615918296
2002-08-31,11.2309292989957
2002-10-31,13.6979055917702
2002-11-30,-10.6226652797881
2002-12-31,-3.28085137575314
2003-01-31,-1.33379308681335
2003-02-28,-2.18004973552509
2003-03-31,9.7841317206012
2003-04-30,4.48398782963085
2003-05-31,7.53230951752636
2003-06-30,5.15785237541573
2003-07-31,6.49863678944284
2003-08-31,1.49478827978779
2003-09-30,6.89460897096354
2003-10-31,3.60839728695759
2003-11-30,1.89295932504741
2003-12-31,10.5007116250334
2004-01-31,3.26166544779129
2004-02-29,-1.03725613626458
2004-03-31,1.08394632120838
2004-04-30,-1.48854633841693
2004-05-31,1.40019348187738
2004-06-30,-1.77609990120992
2004-07-31,-1.83445730716872
2004-08-31,5.39927442341346
2004-09-30,0.29842525322239
2004-10-31,7.20549552391848
2004-11-30,3.83347612598814
2004-12-31,3.25413070606494
2005-01-31,6.27269579540094
2005-02-28,3.17740551088533
2005-03-31,-2.55517927065531
2005-04-30,3.77860104170888
2005-05-31,4.67268070437358
2005-06-30,4.61321976697874
