scenario,dataset,n_obs,n_months,n_stocks,mean_monthly,sd_monthly,sharpe_annual,num_leaves,train_duration_sec
b,train,16761,139,300,0.00500877913159509,0.0250542545893958,0.692533869555655,,0.11591362953186
b,test,22763,119,463,0.00198017473444312,0.0144630720851691,0.474278663305106,,
