scenario,dataset,n_obs,n_months,n_stocks,mean_monthly,sd_monthly,sharpe_annual,num_leaves,train_duration_sec
c,train,22763,119,463,0.00853481387698584,0.020729576463904,1.42624537397803,,0.244174480438232
c,test,16761,139,300,0.00311212654421497,0.0225728087959893,0.477597745400814,,
