model,num_iter,eta,sharpe,mean_monthly,std_monthly
Single Tree,1,1,1.81740088663773,0.838768349627116,1.59875502209376
Boosted Tree,50,0.1,0.963106112140795,1.22669777115369,4.41218851876434
