date,factor
1997-12-31,1.8046901773367
1998-01-31,5.16971555417414
1998-02-28,7.59453777254596
1998-03-31,1.84694709466514
1998-04-30,4.71276416590652
1998-07-31,-2.3330749789925
1998-08-31,-0.539756877862164
1998-11-30,-13.7978451006771
1998-12-31,-8.13647261616949
1999-01-31,-0.147663668140173
1999-02-28,7.88999946360595
1999-09-30,-1.65124819645651
1999-10-31,1.93119148051461
1999-11-30,2.56599737363229
1999-12-31,2.36393680480391
2000-01-31,7.68807221564479
2000-02-29,0.821350615509776
2000-03-31,2.26402563494908
2000-04-30,-0.620114150920354
2000-05-31,4.01168214636958
2000-06-30,0.394739676171997
2000-09-30,-0.600979916040974
2000-10-31,7.88450931532285
2000-11-30,13.3053524972642
2000-12-31,-0.0222467636156552
2001-04-30,7.59128858472774
2001-05-31,-0.787348501946388
2001-10-31,-3.88103131456252
2001-11-30,-1.8294102986751
2001-12-31,-6.01447937653727
2002-09-30,1.04243020313103
1998-05-31,3.00616283250631
1998-06-30,-1.17301252742589
1998-09-30,-1.81936526551953
1998-10-31,-4.07497213598201
1999-03-31,1.20680510885301
1999-04-30,7.20402754326809
1999-05-31,-3.43954643949963
1999-06-30,-6.31322504455873
1999-07-31,9.38474398057141
1999-08-31,3.08684113834873
2000-07-31,-5.32543191927261
2000-08-31,-4.22580005408539
2001-01-31,-5.35966991791264
2001-02-28,-11.0802837421451
2001-03-31,8.8775748487652
2001-06-30,11.4996459819189
2001-07-31,1.1114154561345
2001-08-31,1.09081032133635
2001-09-30,2.24847331393303
2002-01-31,3.67549348895452
2002-02-28,-3.03799868619597
2002-03-31,-3.13088378897051
2002-04-30,-6.30223308370168
2002-05-31,-7.81301010946247
2002-06-30,-4.43005254507056
2002-07-31,-13.2917990816759
2002-08-31,10.3079813548657
2002-10-31,12.9708359839776
2002-11-30,-9.09126234201105
2002-12-31,-4.42903150475663
2003-01-31,-0.838836449353866
2003-02-28,-1.40922913631465
2003-03-31,10.3867229105144
2003-04-30,2.70265084843054
2003-05-31,6.27622200474899
2003-06-30,5.0840445864429
2003-07-31,6.4441142006865
2003-08-31,-0.785328141530427
2003-09-30,7.37387629100054
2003-10-31,3.57415451881046
2003-11-30,2.1134942039686
2003-12-31,7.05233246916682
2004-01-31,3.13099169894772
2004-02-29,-0.749286957779941
2004-03-31,1.26958449943775
2004-04-30,-0.375325700414293
2004-05-31,1.7580563447398
2004-06-30,-0.911716570466752
2004-07-31,-1.00642224930839
2004-08-31,4.03710834561004
2004-09-30,0.902168327070313
2004-10-31,6.38186718751844
2004-11-30,3.10108135226158
2004-12-31,2.84173127359426
2005-01-31,6.41481013288089
2005-02-28,1.96464134493921
2005-03-31,-2.01283620127414
2005-04-30,4.6479045439597
2005-05-31,4.93965114085688
2005-06-30,5.07807459385412
2005-07-31,-0.443520045856637
2005-08-31,5.58780312059493
2005-09-30,-1.72216132317574
2005-10-31,5.8426916825336
2005-11-30,7.09293867778702
2005-12-31,2.91401035140539
2006-01-31,4.89730963198211
2006-02-28,6.86833267762629
2006-03-31,2.18219014864849
2006-04-30,-7.38349966067644
2006-05-31,1.29619129559863
2006-06-30,-0.198607564105094
2006-07-31,2.38701919915927
2006-08-31,5.91027255404205
2006-09-30,3.81357268306183
2006-10-31,2.14907376811999
2006-11-30,10.5689180051971
2006-12-31,3.72580585348247
2007-01-31,-2.58484900196009
2007-02-28,5.88501654574209
2007-03-31,4.18020971813131
2007-04-30,2.67710887643379
2007-05-31,-3.60810004853847
2007-06-30,-2.25464331484223
2007-07-31,-3.0977191310587
2007-08-31,-3.27706218636735
2007-09-30,-1.47406812227342
2007-10-31,-7.1172658524931
2007-11-30,-2.05572326180513
2007-12-31,-10.141236981969
2008-01-31,5.52670379061292
2008-02-29,-1.1039517775875
2008-03-31,-0.879507521203923
2008-04-30,1.85959158413089
2008-05-31,-12.9660845810738
2008-06-30,-2.42394600716067
2008-07-31,2.2434797909577
2008-08-31,-13.0984232983429
2008-09-30,-16.2328402294854
2008-10-31,-6.6883263338862
2008-11-30,3.99148532501009
2008-12-31,1.26990077156059
2009-01-31,0.354912274530634
2009-02-28,1.5600011950731
2009-03-31,21.8236374832691
