V1,V2
0.172505213715543,2.10985354319407
3.79481821495776,5.31934558716013
6.08683229319162,8.08721392550433
1.63080927324149,2.23697382497355
5.48546424550598,3.87801452172363
-1.84878714569972,-2.53987275565664
-1.05292490743289,-0.823973646417587
-14.0318919513168,-13.9186408806155
-8.27370932139281,-8.94290372927339
-3.90744371213618,1.49163212078817
10.9512519267575,7.72831837525315
-0.598533806696934,-2.09059591197079
-1.38331912284225,2.5127610894463
0.0313780062908082,3.01667751395945
0.0691216776208116,2.94292922816341
4.01115171681304,8.890291979942
5.07544296235777,-0.63294432427687
-1.81513715402205,4.15460851240083
-2.26609316294774,-0.294887040078171
4.71529931529539,3.61493179075156
3.15507360132457,-0.244645944675033
-0.945295591468916,0.212894961345813
14.2075982176006,6.88888727792609
15.6936347765353,13.5385848678355
8.3021878270466,-2.179811970474
11.7524338365009,7.33467376981024
0.817192788677012,-1.82108841175758
-3.52323993494128,-4.39344800362428
-4.64554000703707,-1.19767508672438
-6.11777466445321,-5.54088566153231
0.20320478413238,1.11083580513138
4.8054064259704,0.932147170500384
-0.376859749033801,-1.82305393780937
-8.71169474346376,0.180533664767557
-5.83281226757818,-3.67569857507025
-5.19826178608032,2.46852678013834
9.85296874093512,7.29245252930887
-10.1262291850904,-2.27822665841686
-5.20111366583028,-7.5083617009774
2.71361846402921,11.7060878016909
3.16244582741309,2.7860824883081
-9.90100509070465,-4.14971584589573
-8.02476834108296,-2.90023454306164
-7.45080273407656,-4.88770919336453
-14.3968100021729,-9.30548202365365
8.51495527819714,9.19593558474468
17.5557197746834,9.44731098275559
-0.937001584963203,2.00145544449275
0.652797840439188,0.457547342628456
-1.29605880118232,2.67143460044221
3.82072620286718,3.99654562349266
-8.78013082767727,-2.28594845415032
-4.30167210846312,-3.45867438653228
-8.69382607628794,-5.19842005578817
-7.42053543741314,-7.73612050487635
-7.99159934217878,-3.69031162101975
-18.2043715850757,-12.7589455370795
12.7903539733927,9.69277580640193
14.1090446321589,13.2923746537915
-12.4271462024851,-8.84279820500387
-1.52593504148964,-5.01182994308991
-2.34109355449204,-0.340232603970241
-3.70544548961935,-0.675460995030065
7.53018114957635,12.0073374963443
8.28668716225527,0.733158850332982
9.61945142168777,5.47363707112164
4.45921181974701,5.84696319199626
7.34272667676584,5.66606062878216
6.20540044795769,-3.15156923762625
