date,factor
1999-06-30,0.0537836368928077
1999-07-31,2.60383583653506
1999-08-31,-0.220370645177748
1999-09-30,1.10554905133289
1999-10-31,-1.28837907327304
1999-11-30,0.330121540149978
1999-12-31,-1.99483794005505
2000-01-31,-0.343620909989775
2000-02-29,0.192645702828277
2000-03-31,-0.252780084701231
2000-04-30,1.54730971477934
2000-05-31,2.55090071937399
2000-06-30,1.2060740602948
2000-07-31,0.414005347583581
2000-08-31,2.55935083832772
2000-09-30,1.2280440516302
2000-10-31,1.07506779226414
2000-11-30,1.87120075808572
2000-12-31,-0.731215488869622
2001-01-31,3.82130599708035
2001-02-28,-0.304152613364642
2001-03-31,2.15509647834606
2001-04-30,0.55523345588688
2001-05-31,2.34777260247498
2001-06-30,-0.240092242070281
2001-07-31,1.00919191213381
2001-08-31,0.135565877425902
2001-09-30,2.08526873675801
2001-10-31,-0.318594116785046
2001-11-30,1.35289925156906
2001-12-31,0.764163395062886
2002-01-31,4.82362232775944
2002-02-28,1.31297255823236
2002-03-31,3.14523257942857
2002-04-30,0.989325198218042
2002-05-31,0.368251137055003
2002-06-30,-2.16212099065439
2002-07-31,1.49969830026832
2002-08-31,-1.64691823061593
2002-09-30,0.0984718870095667
2002-10-31,2.00014885811414
2002-11-30,1.01232776149855
2002-12-31,-1.53627216824751
2003-01-31,-0.193986663582436
2003-02-28,0.0272310846419939
2003-03-31,1.1446323693937
2003-04-30,-0.578712501853668
2003-05-31,1.17458937913251
2003-06-30,1.87232651015049
2003-07-31,0.623577912341278
2003-08-31,-0.836605808176577
2003-09-30,1.09755449929617
2003-10-31,0.78763469566469
2003-11-30,1.0499828681463
2003-12-31,0.0527879147400954
2004-01-31,0.204265347419721
2004-02-29,1.50280127873961
2004-03-31,1.2419552772634
2004-04-30,0.246362560749745
2004-05-31,-0.0146489287130524
2004-06-30,1.06512429829708
2004-07-31,-0.451451869123446
2004-08-31,1.19489629954619
2004-09-30,1.43445244992612
2004-10-31,3.03913555030715
2004-11-30,-0.732852862605887
2004-12-31,0.242404263912372
2005-01-31,1.08041450833036
2005-02-28,0.0697078417771336
2005-03-31,-0.82886707067863
2005-04-30,1.68420784648491
2005-05-31,1.74078581487656
2005-06-30,1.58080939502368
2005-07-31,-0.248960018751206
2005-08-31,0.419656950632406
2005-09-30,-0.104133470850794
2005-10-31,1.479376507977
2005-11-30,0.642587856964293
2005-12-31,1.58917150346691
2006-01-31,1.67376839536334
2006-02-28,2.24268890220136
2006-03-31,0.590588217065364
2006-04-30,-1.65075165856763
2006-05-31,0.931945220652522
2006-06-30,1.41338965707141
2006-07-31,0.709386343743526
2006-08-31,0.108965365184396
2006-09-30,0.64298259211265
2006-10-31,1.41568151082608
2006-11-30,1.4362876200801
2006-12-31,1.04744559168242
2007-01-31,-0.758729129156676
2007-02-28,0.748658773812459
2007-03-31,0.307449522018609
2007-04-30,0.347335824804994
2007-05-31,-0.346116713723872
2007-06-30,-1.59248040139466
2007-07-31,0.168890277452396
2007-08-31,-0.00863998430618096
2007-09-30,-0.0718555213007235
2007-10-31,-0.43539534400948
2007-11-30,0.265864517533788
2007-12-31,-2.16722088176585
2008-01-31,2.95861992848687
2008-02-29,0.58495296682289
2008-03-31,2.19580487148321
2008-04-30,1.13913296174072
2008-05-31,-1.59193022637027
2008-06-30,-0.100281280876235
2008-07-31,2.46574961848353
2008-08-31,-2.03149989311645
2008-09-30,-3.63403469089263
2008-10-31,0.37232562071107
2008-11-30,-2.55992091362544
2008-12-31,5.07317711100285
2009-01-31,0.814457504202388
2009-02-28,-0.221355201341066
2009-03-31,3.39488713903351
2009-04-30,2.06237518836713
2009-05-31,-2.868368057402
2009-06-30,2.30248630822925
2009-07-31,-0.192862667264538
2009-08-31,0.908321896049073
2009-09-30,0.81212349221633
2009-10-31,-0.00912448983575287
2009-11-30,0.961067343900399
2009-12-31,0.779465833230396
