scenario,sharpe_ratio,mean_monthly_pct,std_monthly_pct,annualized_return_pct
A: Full Sample,2.45955135062837,0.762741165863507,1.07426620872331,9.15289399036208
B: Time-Split (test),0.671838647631136,0.285503645529274,1.47209995002949,3.42604374635129
C: Reverse Split (test),0.64324238223492,0.420303283298624,2.26349090596883,5.04363939958348
