date,leaf_1,leaf_2,leaf_3,leaf_4,leaf_5,leaf_6
1999-06-30,-1.49045368535128,2.46438111355306,3.80928784837402,-3.71959972505679,-2.67286444194256,-1.78932828700572
1999-07-31,1.55131932083109,-3.57838780406368,1.98874106671828,2.44157013686073,4.30139677174085,4.1920216908592
1999-08-31,1.66730754123077,-1.21609288871115,2.39095998721611,3.80343807329512,0.062880508839455,0.606729506423536
1999-09-30,-0.337934624971868,-0.95792215825463,-5.07862780344303,1.46455803327918,0.142918964631011,1.31585710969197
1999-10-31,1.29984468568032,2.29279384872478,7.18307563909616,12.3949832734377,10.3377889906141,7.58949380725792
1999-11-30,3.39348379983677,17.6297702577148,6.9336851692239,10.109916057291,15.6209300405758,8.86696225966425
1999-12-31,-0.954387618571682,4.7116948781439,14.5208852792355,11.0975686560581,2.01887036680781,-0.390989216448859
2000-01-31,-0.337443581064461,1.90964002984534,11.2615689061978,5.61394847574488,9.03123840525639,14.3035874987095
2000-02-29,-0.738785679714628,5.90415022390213,2.72916767538321,1.72631162021399,-0.500071298692942,-7.17689366433808
2000-03-31,1.39239372553043,-4.13397028014058,-0.43470296606178,-3.76973259545978,-3.77539651423949,-7.05152520471504
2000-04-30,5.41974083585005,0.468075239067696,-1.62500298854061,-4.57144543470075,-2.60342400938634,-12.3902116744969
2000-05-31,2.0678052294856,-8.29613377301173,-8.61190538901508,-6.28720088755989,-6.21125316075479,-12.2180335355906
2000-06-30,0.63520979613874,-4.66910696843508,0.994552562852197,1.18797368135497,0.590572432432609,-3.09635810160166
2000-07-31,4.98118868104434,4.06829497086496,-1.63375842766481,4.74445977251392,3.14487566281607,6.89620705729304
2000-08-31,1.84932826789248,-5.88209594276547,3.9312057997046,-0.720682402709231,-0.911841389309094,-1.95757299013585
2000-09-30,-6.25405060129441,-18.2369709899406,-1.1398208736714,-9.07001979715512,-3.6811335468466,-7.43755603350545
2000-10-31,3.13554737165371,-0.873798283449224,-3.89871372982866,-3.00242473392721,-4.44466122945262,-16.337806011919
2000-11-30,2.68196020067338,-7.97007261121471,-17.3536692986992,-8.60992734219278,-0.702680507107912,-7.53455437014991
2000-12-31,7.56493006161272,19.7060623339031,18.1282583056608,10.9403242696597,7.04886313313572,2.48541210182852
2001-01-31,5.90234955492787,-7.94002738319126,-9.94282610681301,-7.74506279684195,-7.00239418957331,-8.50121986618823
2001-02-28,1.07661571783119,-8.71589876748011,-2.83082799789228,-7.49525721606414,-7.97138581800556,-4.67838949436882
2001-03-31,2.46338576975706,9.07035944619992,-3.9105916986741,5.6348308207201,6.30917970609451,5.69527031857503
2001-04-30,3.23388705035757,1.21845933168381,1.31642020730938,2.20603511113075,4.65878733559164,4.32104777408564
2001-05-31,-1.25996670909667,-12.9150472691035,-2.30891856792452,-7.63508859572346,-7.52377462101379,0.0636031644714965
2001-06-30,-3.75052178458696,-9.24365573917978,-6.89054845507958,-5.86097387253338,-4.7676155219927,-4.22998675019348
2001-07-31,-4.69734054377058,-12.4880286625744,-7.76854381834231,-6.36099324485285,-6.32748201643771,1.31436173504175
2001-08-31,-4.79244535322688,-17.8186008355539,-17.8797467673958,-13.1011898004517,-12.4970113659956,-11.1610475102824
2001-09-30,2.57291813305534,14.8376818296859,15.0612055298806,2.4677940758707,8.30512254455893,11.6523016208352
2001-10-31,7.51505397089104,8.72939485951698,11.125170428045,11.8156453450123,12.779959659067,9.33395507863188
2001-11-30,0.803989265775937,-0.956077020046132,-7.57929770439188,-0.597940474558874,0.950468843314202,4.47887596005934
2001-12-31,2.92134582872912,-0.49128015669281,2.39752206533934,0.294563464117081,-0.462889729866145,6.54127148262595
