Scenario,Data_Type,Period,N_Months,F1_Sharpe,F1_Alpha_CAPM,F1_tstat_CAPM,F1_Alpha_FF3,F1_tstat_FF3,F1_Alpha_FF4,F1_tstat_FF4
Scenario A,IS,1997-09 to 2020-07,275,2.7359688884175783,21.837413979210485,9.922753537654312,21.778801429284115,9.818611352802366,21.285271884610268,9.539310135120383
Scenario B,OOS,2010-01 to 2020-07,127,1.6913768066903097,6.634518401309624,4.648539848589305,6.637776071563456,4.620456584656739,6.953778668393311,4.567783059519972
Scenario C,OOS,1997-09 to 2009-12,148,3.1097027200818057,40.841132152234714,8.824192891282403,40.38614483513779,9.260283382117517,40.40039175770889,8.639400015362503
