"month","factor1","factor2","factor3"
1997-02-28,0.0442287016036618,0.0442287016036618,0.0442287016036618
1997-03-27,0.0245959325952893,0.0245959325952893,0.0245959325952893
1997-04-30,-0.0639241761583493,-0.0639241761583493,-0.0639241761583493
1997-05-30,0.0450930297824419,0.0450930297824419,0.0450930297824419
1997-06-30,0.0406752696919017,0.0406752696919017,0.0406752696919017
1997-07-31,0.0685954299562418,0.0685954299562418,0.0685954299562418
1997-08-29,-0.0516492986796194,-0.0516492986796194,-0.0516492986796194
1997-09-30,0.0585107244471741,0.0585107244471741,0.0585107244471741
1997-10-31,-0.0897172220185384,-0.0897172220185384,-0.0897172220185384
1997-11-28,0.0613377318242296,0.0613377318242296,0.0613377318242296
1997-12-30,0.0201796774776996,0.0201796774776996,0.0201796774776996
1998-01-30,0.0459581942621334,0.0459581942621334,0.0459581942621334
1998-02-27,0.0868526185899003,0.0868526185899003,0.0868526185899003
1998-03-31,0.0528199486594131,0.0528199486594131,0.0528199486594131
1998-04-30,0.026793120699891,0.026793120699891,0.026793120699891
1998-05-29,0.0600397012091742,0.0600397012091742,0.0600397012091742
1998-06-30,0.0271746071018382,0.0271746071018382,0.0271746071018382
1998-07-31,-0.00220438952556419,-0.00220438952556419,-0.00220438952556419
1998-08-31,-0.145719647320464,-0.145719647320464,-0.145719647320464
1998-09-30,-0.0967814894061013,-0.0967814894061013,-0.0967814894061013
1998-10-30,0.0494620936195348,0.0494620936195348,0.0494620936195348
1998-11-30,0.117951033269616,0.117951033269616,0.117951033269616
1998-12-30,-0.0106120801046927,-0.0106120801046927,-0.0106120801046927
1999-01-29,0.00781835071182173,0.00781835071182173,0.00781835071182173
1999-02-26,0.00775321165042822,0.00775321165042822,0.00775321165042822
1999-03-31,0.0386601927351526,0.0386601927351526,0.0386601927351526
1999-04-30,0.0710859104313592,0.0710859104313592,0.0710859104313592
1999-05-31,0.00808301826633142,0.00808301826633142,0.00808301826633142
1999-06-30,0.0402393449103812,0.0402393449103812,0.0402393449103812
1999-07-30,-0.0221994099373653,-0.0221994099373653,-0.0221994099373653
1999-08-31,0.0301169293602005,0.0301169293602005,0.0301169293602005
1999-09-30,0.000521116223260609,0.000521116223260609,0.000521116223260609
1999-10-29,0.0542281341281096,0.0542281341281096,0.0542281341281096
1999-11-30,0.103223858545224,0.103223858545224,0.103223858545224
1999-12-30,0.128479569911186,0.128479569911186,0.128479569911186
2000-01-31,0.0433358539779801,0.0433358539779801,0.0433358539779801
2000-02-29,0.138355564915941,0.138355564915941,0.138355564915941
2000-03-31,0.0196933162322931,0.0196933162322931,0.0196933162322931
2000-04-28,0.0545390956980014,0.0545390956980014,0.0545390956980014
2000-05-31,0.0317779647929435,0.0317779647929435,0.0317779647929435
2000-06-30,0.0621040447010288,0.0621040447010288,0.0621040447010288
2000-07-31,0.0781353318071645,0.0781353318071645,0.0781353318071645
2000-08-31,0.0942460762936409,0.0942460762936409,0.0942460762936409
2000-09-29,0.00736408894574981,0.00736408894574981,0.00736408894574981
2000-10-31,0.0215421916731395,0.0215421916731395,0.0215421916731395
2000-11-30,0.0358200914746759,0.0358200914746759,0.0358200914746759
2000-12-29,-0.0148171440988178,-0.0148171440988178,-0.0148171440988178
2001-01-31,0.0825755634567947,0.0825755634567947,0.0825755634567947
2001-02-28,-0.0103637103060526,-0.0103637103060526,-0.0103637103060526
2001-03-30,-0.0174771932646238,-0.0174771932646238,-0.0174771932646238
2001-04-30,0.142771398440388,0.142771398440388,0.142771398440388
2001-05-31,0.075240961405422,0.075240961405422,0.075240961405422
2001-06-29,0.026482825477207,0.026482825477207,0.026482825477207
2001-07-31,-0.0125208945017941,-0.0125208945017941,-0.0125208945017941
2001-08-31,-6.16978477173487e-05,-6.16978477173487e-05,-6.16978477173487e-05
2001-09-28,-0.0177476087649993,-0.0177476087649993,-0.0177476087649993
2001-10-31,0.0350066093530035,0.0350066093530035,0.0350066093530035
2001-11-30,0.173827764903842,0.173827764903842,0.173827764903842
2001-12-28,0.0731368097552872,0.0731368097552872,0.0731368097552872
2002-01-31,0.010396753591436,0.010396753591436,0.010396753591436
2002-02-28,0.0201280728948971,0.0201280728948971,0.0201280728948971
2002-03-28,0.095416705638322,0.095416705638322,0.095416705638322
2002-04-30,-0.000793683541629696,-0.000793683541629696,-0.000793683541629696
2002-05-31,0.0120744032979479,0.0120744032979479,0.0120744032979479
2002-06-28,-0.0993366738479288,-0.0993366738479288,-0.0993366738479288
2002-07-31,-0.00683882180724765,-0.00683882180724765,-0.00683882180724765
2002-08-30,0.0293835140257933,0.0293835140257933,0.0293835140257933
2002-09-30,-0.128524999065674,-0.128524999065674,-0.128524999065674
2002-10-31,0.193984217471693,0.193984217471693,0.193984217471693
2002-11-29,0.162763737326449,0.162763737326449,0.162763737326449
2002-12-30,-0.111733325185906,-0.111733325185906,-0.111733325185906
2003-01-31,0.0320103593682,0.0320103593682,0.0320103593682
2003-02-28,-0.0230553833769502,-0.0230553833769502,-0.0230553833769502
2003-03-31,0.00462642121729289,0.00462642121729289,0.00462642121729289
2003-04-30,0.144690180841717,0.144690180841717,0.144690180841717
2003-05-30,-0.00158683973707984,-0.00158683973707984,-0.00158683973707984
2003-06-30,0.0396356776421714,0.0396356776421714,0.0396356776421714
2003-07-31,0.139923620128493,0.139923620128493,0.139923620128493
2003-08-29,0.0334981892954089,0.0334981892954089,0.0334981892954089
2003-09-30,-0.0237420944661868,-0.0237420944661868,-0.0237420944661868
2003-10-31,0.094592860825734,0.094592860825734,0.094592860825734
