gvkey,permno,sic,ret,exchcd,shrcd,date,ffi49,lag_me,log_me,rank_me,rank_bm,rank_mom12m,rank_mom1m,rank_beta,rank_turn,rank_roa,rank_ep,rank_cfp,rank_sp,rank_gma,rank_cinvest,rank_lev,rank_sgr,rank_ato,rank_noa,rank_roe,rank_agr,rank_bm_ia,xret
1,1,1000,0.007410330967934,1,10,2011-01-31,1,1291837556.9,20.983042083845124,0.4950166112956811,0.12624584717607973,0.5017667844522968,0.14381270903010032,0.5033670033670035,0.8803986710963455,0.36,0.44,0.6156462585034014,0.47,0.2755102040816326,0.8979591836734694,0.8333333333333334,0.46206896551724136,0.78,0.30612244897959184,0.7551020408163265,0.4827586206896552,0.5966666666666667,0.007410330967934
1,1,1000,-0.0514747623349935,1,10,2011-02-28,1,1296639927.0,20.921954391865285,0.4831081081081081,0.12837837837837837,0.5017921146953405,0.5168918918918919,0.5034129692832765,0.7297297297297297,0.3593220338983051,0.4406779661016949,0.6193771626297578,0.488135593220339,0.2837370242214533,0.8961937716262975,0.8373702422145328,0.458041958041958,0.7762711864406779,0.31141868512110726,0.7508650519031141,0.4755244755244755,0.5864406779661017,-0.0514747623349935
1,1,1000,-0.0310031778678783,1,10,2011-03-31,1,1219802005.4,21.470318700072063,0.5540540540540541,0.07094594594594594,0.5035842293906809,0.33559322033898303,0.5034364261168385,0.6452702702702703,0.35714285714285715,0.40476190476190477,0.5520833333333334,0.3979591836734694,0.2673611111111111,0.90625,0.84375,0.4543859649122807,0.7755102040816326,0.2986111111111111,0.7604166666666666,0.47543859649122805,0.673469387755102,-0.0310031778678783
1,1,1000,-0.0280022617545995,1,10,2011-04-29,1,2110770112.5,21.437795508366502,0.5536912751677853,0.09731543624161074,0.5036363636363637,0.13087248322147652,0.5748299319727891,0.9161073825503355,0.35135135135135137,0.40878378378378377,0.5655172413793104,0.3952702702702703,0.27586206896551724,0.9,0.803448275862069,0.4548611111111111,0.777027027027027,0.3,0.7517241379310344,0.4756944444444444,0.6722972972972973,-0.0280022617545995
1,1,1000,-0.1234606572635498,1,10,2011-05-31,1,2043225468.9,21.310149947919243,0.5551839464882943,0.10738255033557047,0.5036101083032491,0.24324324324324326,0.4880546075085324,0.7424749163879598,0.34121621621621623,0.41216216216216217,0.563573883161512,0.42567567567567566,0.27241379310344827,0.906896551724138,0.8137931034482758,0.46153846153846156,0.7804054054054054,0.296551724137931,0.7586206896551724,0.4755244755244755,0.6587837837837838,-0.1234606572635498
1,1,1000,0.0281700207267641,1,10,2011-06-30,1,1798376135.85,21.482617786150957,0.5791245791245792,0.08445945945945946,0.5035714285714286,0.10921501706484642,0.6517241379310345,0.6363636363636364,0.3493150684931507,0.4075342465753425,0.5432525951557093,0.3595890410958904,0.2867132867132867,0.8951048951048951,0.8090277777777778,0.4612676056338028,0.7808219178082192,0.3111888111888112,0.7517482517482518,0.4823943661971831,0.678082191780822,0.0281700207267641
1,1,1000,-0.0913207547169812,1,10,2011-07-29,1,2136890957.8,21.386389754056403,0.5858585858585859,0.09121621621621621,0.503690036900369,0.8979591836734694,0.541958041958042,0.6531986531986532,0.3436426116838488,0.4020618556701031,0.5435540069686411,0.38144329896907214,0.28169014084507044,0.897887323943662,0.8251748251748252,0.45357142857142857,0.7731958762886598,0.30633802816901406,0.7535211267605634,0.475,0.6735395189003437,-0.0913207547169812
1,1,1000,-0.1708559188669347,1,10,2011-08-31,1,1940845915.8,21.204068197262448,0.5880398671096345,0.08970099667774087,0.5035842293906809,0.2691029900332226,0.4965753424657534,0.6112956810631229,0.3434343434343434,0.39730639730639733,0.5517241379310345,0.3838383838383838,0.2743055555555556,0.9027777777777778,0.8206896551724138,0.4597902097902098,0.7710437710437711,0.2986111111111111,0.7604166666666666,0.4772727272727273,0.6734006734006734,-0.1708559188669347
1,1,1000,0.0424278370897588,1,10,2011-09-30,1,1617371596.5,21.24561720017532,0.6060606060606061,0.08108108108108109,0.36727272727272725,0.21885521885521886,0.554006968641115,0.6397306397306397,0.3470790378006873,0.4020618556701031,0.5244755244755245,0.36769759450171824,0.2826855123674912,0.901060070671378,0.8280701754385965,0.47153024911032027,0.7766323024054983,0.30742049469964666,0.7597173144876325,0.4786476868327402,0.6838487972508591,0.0424278370897588
1,1,1000,0.2267445536041674,1,10,2011-10-31,1,1685987361.2,21.445230254079334,0.6321070234113713,0.06711409395973154,0.31785714285714284,0.9463087248322147,0.5085910652920962,0.6287625418060201,0.3583617747440273,0.40955631399317405,0.5051903114186851,0.3447098976109215,0.2771929824561403,0.8982456140350877,0.8229166666666666,0.4575971731448763,0.7781569965870307,0.30526315789473685,0.7614035087719299,0.4752650176678445,0.7133105802047781,0.2267445536041674
1,1,1000,-0.0426604275319,1,10,2011-11-30,1,2058472941.0,21.401427631420944,0.630718954248366,0.06535947712418301,0.3017543859649123,0.9243421052631579,0.568561872909699,0.7058823529411765,0.34563758389261745,0.3926174496644295,0.5102739726027398,0.33557046979865773,0.2743055555555556,0.8993055555555556,0.8184931506849316,0.458477508650519,0.7885906040268457,0.2986111111111111,0.7534722222222222,0.4688581314878893,0.714765100671141,-0.0426604275319
