"month","factor"
1997-03-27,0.0132420026080712
1997-04-30,-0.00197135439509388
1997-05-30,0.00640188691390912
1997-06-30,0.0219332544148059
1997-07-31,0.00991315432738147
1997-08-29,0.0124506965756805
1997-09-30,-0.0029438008136775
1997-10-31,-0.0278706927533279
1997-11-28,0.00896357073057962
1997-12-30,-0.0113202446002216
1998-01-30,0.0140204509208791
1998-02-27,0.011716765148105
1998-03-31,0.0279717014384566
1998-04-30,0.00917238688963846
1998-05-29,-0.00676496051295494
1998-06-30,-0.00313376495858343
1998-07-31,0.0103634306820018
1998-08-31,-0.0229503739760625
1998-09-30,-0.0115906593078537
1998-10-30,-0.00635188898881798
1998-11-30,0.0100148743764139
1998-12-30,0.00249873124727776
1999-01-29,0.00427645090422901
1999-02-26,0.0305150042506904
1999-03-31,0.0146380821227815
1999-04-30,0.0332055299390678
1999-05-31,-0.000526107174443756
1999-06-30,-0.000931282876911459
1999-07-30,0.000593980369949892
1999-08-31,0.0100075137725812
1999-09-30,0.0182110063317241
1999-10-29,0.00471112507458899
1999-11-30,-0.0109481797798377
1999-12-30,0.0462749826459876
2000-01-31,-0.0131482931050281
2000-02-29,0.0162254663991737
2000-03-31,0.0207946393683228
2000-04-28,0.018814689909949
2000-05-31,0.0325884689692445
2000-06-30,0.0147203394085127
2000-07-31,0.0172395185557525
2000-08-31,0.0103927374119964
2000-09-29,0.0128742786701252
2000-10-31,0.0336478680401284
2000-11-30,0.0151307520294166
2000-12-29,0.0223141830713434
2001-01-31,-0.022369352582799
2001-02-28,0.0166290404563203
2001-03-30,-0.00641888175557566
2001-04-30,0.0341427806545063
2001-05-31,0.0298758511825987
2001-06-29,0.0179472320271124
2001-07-31,-0.00829731571642093
2001-08-31,0.00740127915157983
2001-09-28,-0.0288344308878511
2001-10-31,-0.0159311704454915
2001-11-30,0.0477613895203878
2001-12-28,0.0334301277164208
2002-01-31,0.017577063747787
2002-02-28,0.00400868532947838
2002-03-28,0.0354816158474114
2002-04-30,0.0158975590035377
2002-05-31,-0.0122043461613575
2002-06-28,-0.00853518850939318
2002-07-31,-0.0148895604084821
2002-08-30,-0.00706274671939405
2002-09-30,-0.041698928352187
2002-10-31,0.0478223552452096
2002-11-29,0.048345318748674
2002-12-30,-0.0287147892660036
2003-01-31,-0.00526176971952065
2003-02-28,0.013610078690389
2003-03-31,0.0166364568474095
2003-04-30,0.0422753701877181
2003-05-30,-0.00362772759359875
2003-06-30,0.0153721184179577
2003-07-31,0.00755939191126504
2003-08-29,0.0173198389048464
2003-09-30,0.0220016239791185
2003-10-31,0.0499564858343298
2003-11-28,0.00770985368405087
2003-12-30,0.023149051721722
2004-01-30,-0.0118537272953582
2004-02-27,0.0225001610991236
2004-03-31,0.0010932519147931
2004-04-30,0.0293390780278565
2004-05-28,0.00554653614460414
2004-06-30,0.019039850554265
2004-07-30,0.00774287675524163
2004-08-31,0.00718868737965791
2004-09-30,0.0186733102052859
2004-10-29,0.0209513083591672
2004-11-30,0.0289911467450817
2004-12-30,0.0129626543887537
2005-01-31,0.00682632307587725
2005-02-28,0.0359918215940601
2005-03-31,-0.00462850543914064
2005-04-29,0.0091434584300549
2005-05-31,0.00868063820940508
2005-06-30,0.0226802093368127
2005-07-29,0.0169284827992143
2005-08-31,-0.0106661958583303
2005-09-30,0.0031817105500257
2005-10-31,0.00305219204310173
2005-11-30,0.0236223879318807
2005-12-30,0.0181921801511396
2006-01-31,0.0188366144547998
2006-02-28,0.0210740473674022
2006-03-31,0.0309490434105866
2006-04-28,0.00806261137406216
2006-05-31,-0.00979333494315805
2006-06-30,0.0107553013815522
2006-07-31,-0.0042704393615395
2006-08-31,0.0117852010933456
2006-09-29,0.00927162734627442
2006-10-31,0.0122454328422716
2006-11-30,0.00499553100704244
2006-12-29,0.0245676865814404
2007-01-31,0.0129506409504851
2007-02-28,0.0107385912998841
2007-03-30,0.0115115440602041
2007-04-30,0.00954839594479003
2007-05-31,0.0123144154605471
2007-06-29,-0.00424604522980746
2007-07-31,0.00400913920398489
2007-08-31,0.00116047198921874
2007-09-28,-0.0224183472822828
2007-10-31,-0.0191144083288334
2007-11-30,-0.0192800182645362
2007-12-28,-0.0129128537088114
2008-01-31,-0.0176616973616724
2008-02-29,0.0204961774603837
2008-03-31,-0.000220131022196875
2008-04-30,0.0176590099260096
2008-05-30,0.00845830998465969
2008-06-30,-0.0250504184357919
2008-07-31,-0.0294393129265117
2008-08-29,0.0014389609302355
2008-09-30,-0.0377217218364636
2008-10-31,-0.0579866451294412
2008-11-28,-0.0168596394311812
2008-12-30,0.009637598522347
2009-01-30,-0.00813812648503748
2009-02-27,0.020297595496012
2009-03-31,0.0121413686770293
2009-04-30,0.0735250974251932
2009-05-29,0.0273678660718277
2009-06-30,-0.00259405416474353
2009-07-31,0.0182303846487085
2009-08-31,0.0279802225269436
2009-09-30,-0.0174789941912721
2009-10-30,0.00734438518768583
2009-11-30,0.00779076307096707
2009-12-30,-0.00436322344795454
