"Scenario","Train_Obs","Test_Obs","Tree1_Nodes","Tree2_Nodes","Tree3_Nodes","Tree1_Sharpe","Tree2_Sharpe","Tree3_Sharpe"
"A: Full",48231,0,5,5,5,1.06661340111534,0.748265139285538,0.426609724494352
"B: Split",19794,28437,19,19,19,2.45927250821159,2.13010160733015,1.3084563035665
"C: Reverse",28437,19794,5,5,5,1.08303519300498,1.13162309369221,0.586881756241316
