"month","factor_1","factor_2","factor_3","factor_4","factor_5"
1999-06-30,0.0134246624593543,0.00219745368261332,0.0110158339137058,0.0291040718813,0.0192374932662284
1999-07-30,-0.0326203858002023,0.0020245503308987,-0.0137688707358018,-0.00741740117973674,-0.00982068292019703
1999-08-31,0.00299415000028035,0.016420659652626,0.00475281349260953,0.0110165641557007,-0.01269423650549
1999-09-30,0.0179363125549542,9.24682521598595e-05,0.00899817513830462,0.00426434887283338,-0.000792789603394739
1999-10-29,0.0308064471482199,0.0651876431936002,0.0465940106048008,0.0316077297507492,0.0820019079473064
1999-11-30,0.0484527083352843,0.0957423270006024,0.101094706887021,0.0729592965723833,0.0760412335447512
1999-12-30,0.0382937324207938,0.0515474283905291,0.122348728703397,0.13833644817746,0.0830706797761837
2000-01-31,0.0871729432908417,0.051499300812338,0.0447634357736327,0.0333253678983134,0.0228436436698715
2000-02-29,0.0282344363725206,0.0992131502306974,0.130507708331606,0.0655230612205993,0.10393223682938
2000-03-31,0.0352757750454089,-0.0282658982232951,0.00538531768979867,-0.0203365907238463,0.0317855048041847
2000-04-28,0.0562761719874788,0.0227502226119456,0.0554810027836139,0.0570436701522047,0.0428131681075908
2000-05-31,0.0216931604688855,0.0416009650546926,0.00724761625777179,0.0160421057579714,0.00965785608952726
2000-06-30,0.0401245496460123,0.060453536230968,0.073138772076052,0.0365140625125308,0.0783148475235735
2000-07-31,0.0573214245755937,0.0770249143365605,0.0705616289409192,0.0465100238843331,0.0706738620518212
2000-08-31,0.0511769601047272,0.0306358906901868,0.0827267020615876,0.0349890581544148,0.0873096284267872
2000-09-29,0.0367167146111763,0.0948405706747085,0.0391899871747463,0.0380091941747197,-0.0648595625182162
2000-10-31,0.0305634529739265,0.0246041275839304,-0.00223748630593063,0.00250288105782362,-0.0358496170407944
2000-11-30,0.0833197625547637,0.0674565944482194,0.0887555574847321,0.0559615933758592,0.0188979923456116
2000-12-29,-0.00395691946654588,0.00952607656764887,-0.000168630325321771,-0.0068219681179874,0.0622402285103105
2001-01-31,0.057632286609598,0.0326170225542699,0.0381700733786726,0.0399679428837706,0.0323633375039773
2001-02-28,0.0151131488277669,0.0488673168807218,-0.0065061179831826,-0.00326652071095572,-0.0184753046799413
2001-03-30,0.0817127655255588,0.0531935396264792,0.0305499542428327,0.0133353042271176,-0.00555006100233339
2001-04-30,0.0710310447326757,0.0304748632791476,0.0881293090379463,0.062797454887651,0.137174576593635
2001-05-31,0.114001031571993,0.0376335374870073,0.0625639327108082,0.0268529528661658,0.0699567559880622
2001-06-29,0.0414738311080556,0.0330734936667016,0.0151265459936258,0.0365520922305778,0.0197091348453422
