"month","factor_1","factor_2","factor_3","factor_4","factor_5"
1997-02-28,0.0461201012034869,0.0461201012034869,0.0461201012034869,0.0461201012034869,0.0461201012034869
1997-03-27,0.0330454747984401,0.0330454747984401,0.0330454747984401,0.0330454747984401,0.0330454747984401
1997-04-30,-0.0340509754608673,-0.0340509754608673,-0.0340509754608673,-0.0340509754608673,-0.0340509754608673
1997-05-30,0.0615238159105469,0.0615238159105469,0.0615238159105469,0.0615238159105469,0.0615238159105469
1997-06-30,0.0567486118849267,0.0567486118849267,0.0567486118849267,0.0567486118849267,0.0567486118849267
1997-07-31,0.0766797105390709,0.0766797105390709,0.0766797105390709,0.0766797105390709,0.0766797105390709
1997-08-29,-0.0457950831637043,-0.0457950831637043,-0.0457950831637043,-0.0457950831637043,-0.0457950831637043
1997-09-30,0.0613103269522971,0.0613103269522971,0.0613103269522971,0.0613103269522971,0.0613103269522971
1997-10-31,-0.0917082484394903,-0.0917082484394903,-0.0917082484394903,-0.0917082484394903,-0.0917082484394903
1997-11-28,0.0472911809432826,0.0472911809432826,0.0472911809432826,0.0472911809432826,0.0472911809432826
1997-12-30,-0.00437081941837915,-0.00437081941837915,-0.00437081941837915,-0.00437081941837915,-0.00437081941837915
1998-01-30,0.0401807179233752,0.0401807179233752,0.0401807179233752,0.0401807179233752,0.0401807179233752
1998-02-27,0.0799813705251802,0.0799813705251802,0.0799813705251802,0.0799813705251802,0.0799813705251802
1998-03-31,0.0521604389610044,0.0521604389610044,0.0521604389610044,0.0521604389610044,0.0521604389610044
1998-04-30,0.0186215647390796,0.0186215647390796,0.0186215647390796,0.0186215647390796,0.0186215647390796
1998-05-29,0.0606601830725448,0.0606601830725448,0.0606601830725448,0.0606601830725448,0.0606601830725448
1998-06-30,0.0207547265835934,0.0207547265835934,0.0207547265835934,0.0207547265835934,0.0207547265835934
1998-07-31,-0.00441884015267426,-0.00441884015267426,-0.00441884015267426,-0.00441884015267426,-0.00441884015267426
1998-08-31,-0.148180305009011,-0.148180305009011,-0.148180305009011,-0.148180305009011,-0.148180305009011
1998-09-30,-0.102472266236425,-0.102472266236425,-0.102472266236425,-0.102472266236425,-0.102472266236425
1998-10-30,0.0335385516768228,0.0335385516768228,0.0335385516768228,0.0335385516768228,0.0335385516768228
1998-11-30,0.11242046148458,0.11242046148458,0.11242046148458,0.11242046148458,0.11242046148458
1998-12-30,-0.0159277379950607,-0.0159277379950607,-0.0159277379950607,-0.0159277379950607,-0.0159277379950607
1999-01-29,0.0106967560424617,0.0106967560424617,0.0106967560424617,0.0106967560424617,0.0106967560424617
1999-02-26,0.0033136753091839,0.0033136753091839,0.0033136753091839,0.0033136753091839,0.0033136753091839
1999-03-31,0.0337916756760076,0.0337916756760076,0.0337916756760076,0.0337916756760076,0.0337916756760076
1999-04-30,0.0665377465066439,0.0665377465066439,0.0665377465066439,0.0665377465066439,0.0665377465066439
1999-05-31,0.00319740028930971,0.00319740028930971,0.00319740028930971,0.00319740028930971,0.00319740028930971
1999-06-30,0.0386570577037096,0.0386570577037096,0.0386570577037096,0.0386570577037096,0.0386570577037096
1999-07-30,-0.0233405694162202,-0.0233405694162202,-0.0233405694162202,-0.0233405694162202,-0.0233405694162202
1999-08-31,0.0248410905679025,0.0248410905679025,0.0248410905679025,0.0248410905679025,0.0248410905679025
1999-09-30,-0.0022754603886832,-0.0022754603886832,-0.0022754603886832,-0.0022754603886832,-0.0022754603886832
1999-10-29,0.0474643727244214,0.0474643727244214,0.0474643727244214,0.0474643727244214,0.0474643727244214
1999-11-30,0.120928533289811,0.120928533289811,0.120928533289811,0.120928533289811,0.120928533289811
1999-12-30,0.143228662980036,0.143228662980036,0.143228662980036,0.143228662980036,0.143228662980036
2000-01-31,0.0409112729674999,0.0409112729674999,0.0409112729674999,0.0409112729674999,0.0409112729674999
2000-02-29,0.135930180905134,0.135930180905134,0.135930180905134,0.135930180905134,0.135930180905134
2000-03-31,0.0169423518818616,0.0169423518818616,0.0169423518818616,0.0169423518818616,0.0169423518818616
2000-04-28,0.0500094812010665,0.0500094812010665,0.0500094812010665,0.0500094812010665,0.0500094812010665
2000-05-31,0.0274907222647044,0.0274907222647044,0.0274907222647044,0.0274907222647044,0.0274907222647044
2000-06-30,0.0467945325638793,0.0467945325638793,0.0467945325638793,0.0467945325638793,0.0467945325638793
2000-07-31,0.0768995249015507,0.0768995249015507,0.0768995249015507,0.0768995249015507,0.0768995249015507
2000-08-31,0.0798136412049108,0.0798136412049108,0.0798136412049108,0.0798136412049108,0.0798136412049108
2000-09-29,0.00628450688525244,0.00628450688525244,0.00628450688525244,0.00628450688525244,0.00628450688525244
2000-10-31,0.00451357835068335,0.00451357835068335,0.00451357835068335,0.00451357835068335,0.00451357835068335
2000-11-30,0.0461460821456315,0.0461460821456315,0.0461460821456315,0.0461460821456315,0.0461460821456315
2000-12-29,-0.0294912538671408,-0.0294912538671408,-0.0294912538671408,-0.0294912538671408,-0.0294912538671408
